order,id,year,journal,title,pipeline,human,note,leaky_row
28,2-s2.0-85050600225,2018,12th International Aaai Conference on Web and Social Media Icwsm 2018,Predicting news coverage of scientific articles,MAYBE,EXCLUDE,,
33,2-s2.0-85088969117,2020,International and Multidisciplinary Journal of Social Sciences,Untold false news around COVID-19 circulated less on sina weibo than on twitter. How to overcome false information?,INCLUDE,EXCLUDE,,
46,2-s2.0-105008217481,2025,TEM Journal,"Detecting Fake News Using BERT Word Embedding, Attention Mechanism, Partition and Overlapping Text Techniques",EXCLUDE,MAYBE,,
51,2-s2.0-85109588392,2021,Journal of Communication,"Assembling the Networks and Audiences of Disinformation: How Successful Russian IRA Twitter Accounts Built Their Followings, 2015-2017",MAYBE,EXCLUDE,,
58,2-s2.0-85178921087,2024,Library Hi Tech,"Depth, breadth and structural virality: the influence of emotion, topic, authority and richness on misinformation spread",INCLUDE,EXCLUDE,,
66,2-s2.0-85128118104,2022,JMIR Formative Research,Media Source Characteristics Regarding Food Fraud Misinformation According to the Health Information National Trends Survey (HINTS) in China: Comparative Study,MAYBE,EXCLUDE,,
74,2-s2.0-85096539937,2022,New Media & Society,Why do so few people share fake news? It hurts their reputation,EXCLUDE,MAYBE,,
76,2-s2.0-85193415736,2024,Proceedings of the ACM on Human-Computer Interaction,"“Fact-checks are for the Top 0.1%”: Examining Reach, Awareness, and Relevance of Fact-Checking in Rural India",INCLUDE,EXCLUDE,,
81,2-s2.0-85121234437,2021,Politologija,Dominating Concepts of Russian Federation Propaganda Against Ukraine (Content and Collocation Analyses of Russia Today),MAYBE,EXCLUDE,,
82,2-s2.0-105028889619,2026,Trends in Neuroscience and Education,"The prevalence of neuromyths among Turkish parents: sources, purchase intentions, and effects on educational strategies",MAYBE,EXCLUDE,,
89,2-s2.0-85201146267,2024,2024 International Conference on Social and Sustainable Innovations in Technology and Engineering (SASI-ITE),Supervised Machine Learning Approaches to Identify the False and True News from Social Media Data,EXCLUDE,MAYBE,,
103,2-s2.0-105003235263,2025,"Smart Innovation, Systems and Technologies",Climate Change Disinformation in Digital News Media: A Typology Proposal,MAYBE,EXCLUDE,,
112,2-s2.0-85089310028,2020,Journal of Big Data,Large scale analysis of violent death count in daily newspapers to quantify bias and censorship,MAYBE,EXCLUDE,,
117,2-s2.0-85106742299,2021,Observatorio (OBS*),University students engagement with fake news: The portuguese case,MAYBE,EXCLUDE,,
127,2-s2.0-85124326961,2022,PLOS ONE,Characterizing polarization in online vaccine discourse—A large-scale study,MAYBE,EXCLUDE,,
129,2-s2.0-85216682136,2025,Health Communication,“Sharing Is Caring Even When It’s Wrong”: The Factors Influencing Health Misinformation Sharing and Relational Correction Among Chinese Older Adults from a Cultural Perspective,EXCLUDE,MAYBE,,
141,2-s2.0-85124460646,2021,Australasian Document Computing Symposium,An Analysis of the Australian Political Discourse in Sponsored Social Media Content,MAYBE,EXCLUDE,,yes
148,2-s2.0-85202707804,2024,Scientific Reports,Early morning hour and evening usage habits increase misinformation-spread,MAYBE,EXCLUDE,,
176,2-s2.0-85186144224,2023,2023 1st DMIHER International Conference on Artificial Intelligence in Education and Industry 4.0 (IDICAIEI),Predicting the Veracity of News Articles Using Multimodal Embeddings and NLP-Based Features,EXCLUDE,MAYBE,,
181,2-s2.0-85121971415,2021,Journal of Medical Internet Research,Characterizing and Identifying the Prevalence of Web-Based Misinformation Relating to Medication for Opioid Use Disorder: Machine Learning Approach,INCLUDE,EXCLUDE,,
186,2-s2.0-85129733379,2022,Proceedings of the ACM Web Conference 2022,Detecting False Rumors from Retweet Dynamics on Social Media,EXCLUDE,MAYBE,,
187,2-s2.0-85133315240,2024,Journal of Asian and African Studies,Does Misinformation Thrive With Social Networking Site (SNS) Dependency and Perceived Online Social Impact Among Social Media Users in Nigeria? Testing a Structural Equation Model,EXCLUDE,MAYBE,,
189,2-s2.0-85099566943,2020,Proceedings of the 14th International Aaai Conference on Web and Social Media Icwsm 2020,Characterizing the social media news sphere through user co-sharing practices,MAYBE,EXCLUDE,,
194,2-s2.0-105039619015,2026,Digital Journalism,"The Consumption of Pink Slime Journalism: Who, What, When, Where, and Why?",INCLUDE,EXCLUDE,,
