producer,category,year,claim_text,number_pct,denom_class,method,url,access_date
Duke Reporters' Lab,factcheck,2024,as many as 457 fact-checking projects in 111 countries were active over the past two years,457,REACH_ABSOLUTE,Annual fact-checking census; count of active fact-checking projects worldwide,https://reporterslab.org/with-half-the-planet-going-to-the-polls-in-2024-fact-checking-sputters,2026-06-22
Duke Reporters' Lab,factcheck,2024,"so far in 2024, that number has shrunk to 439",439,REACH_ABSOLUTE,Annual census; in-year count of active fact-checking projects,https://reporterslab.org/with-half-the-planet-going-to-the-polls-in-2024-fact-checking-sputters,2026-06-22
Duke Reporters' Lab,factcheck,2023,2023 was the first time there were more departing fact-checking teams than new ones - 18 closures to 10 starts,,OTHER,Annual census; new vs closed fact-checking organizations,https://reporterslab.org/with-half-the-planet-going-to-the-polls-in-2024-fact-checking-sputters,2026-06-22
Poynter (IFCN),factcheck,2024,137 organizations across at least 69 countries completed the survey ... approximately 80% of the network's fact-checking outlets,137,REACH_ABSOLUTE,IFCN State of the Fact-Checkers survey of verified signatories,https://www.poynter.org/fact-checking/2025/state-fact-checkers-2024-ifcn/,2026-06-22
Snopes,factcheck,2023,Snopes ... 28.65% of its fact-checking articles falling under [real claims] category,28.65,CONTENT,"Analysis of 11,639 Snopes fact-checks Jan 2016-Aug 2022; share rated true/mostly true (rest false/mixed)",https://misinforeview.hks.harvard.edu/article/fact-checking-fact-checkers-a-data-driven-approach/,2026-06-22
PolitiFact (via HKS Misinfo Review),factcheck,2023,only 10.95% of PolitiFact's fact-checking articles were classified as real claims,10.95,CONTENT,"Analysis of 10,710 PolitiFact fact-checks Jan 2016-Aug 2022; share rated true (rest false/mixed)",https://misinforeview.hks.harvard.edu/article/fact-checking-fact-checkers-a-data-driven-approach/,2026-06-22
Africa Check,factcheck,2024,"published more than 1,300 fact-check reports and fact-checked over 1,800 claims",,REACH_ABSOLUTE,Cumulative organizational output totals reported on About page,https://africacheck.org/who-we-are,2026-06-22
AFP Factuel,factcheck,2024,"largest fact-checker in the world, covering more than 80 countries ... in twenty-four languages",,REACH_ABSOLUTE,Organizational description of AFP Fact Check network scope,https://en.everybodywiki.com/AFP_Fact_Check,2026-06-22
Maldita.es,factcheck,2024,"31 million posts were tagged with fact-checking articles ... as being false on Meta's platforms ... 189,000 fact-checking articles",,REACH_ABSOLUTE,Report on platform responses; fact-check labels applied to Meta posts across Europe H1 2024,https://files.maldita.es/maldita/uploads/2023/12/digital-platforms-responses-disinformation-02.pdf,2026-06-22
Maldita.es,factcheck,2023,out of ... 489 Facebook posts containing electoral disinformation ... just 7% had more than 5 reshares,7,CONCENTRATION,Analysis of debunked electoral disinformation posts; share exceeding reshare threshold,https://maldita.es/maldita-es-journalism-to-not-be-fooled/,2026-06-22
Full Fact,factcheck,2023,published 776 fact checks and secured 130 corrections from newspapers and broadcasters,,REACH_ABSOLUTE,Annual organizational output reported in Full Fact Report 2024 (2023 activity),https://fullfact.org/policy/reports/full-fact-report-2024/,2026-06-22
Reuters Institute,academic_thinktank,2018,False news sites in France and Italy had average monthly reach of over 3.5%,3.5%,REACH_ABSOLUTE,Comscore audience panel data; monthly reach of false-news vs mainstream news sites in France and Italy,https://reutersinstitute.politics.ox.ac.uk/our-research/measuring-reach-fake-news-and-online-disinformation-europe,2026-06-22
Reuters Institute,academic_thinktank,2018,None of the false news outlets reached more than one in 20 readers monthly,5%,REACH_ABSOLUTE,"Comscore panel; monthly reach of top false-news sites compared with established outlets (Le Figaro 22.3%, La Repubblica 50.9%)",https://reutersinstitute.politics.ox.ac.uk/our-research/measuring-reach-fake-news-and-online-disinformation-europe,2026-06-22
Reuters Institute,academic_thinktank,2025,58% worldwide worried about what is real and fake online concerning news,58%,RECALL,"Digital News Report 2025; YouGov online survey across ~48 markets, self-reported concern",https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2025/dnr-executive-summary,2026-06-22
Oxford Internet Institute,academic_thinktank,2018,About 25% of US midterm election content shared on Twitter classified as junk news,25%,CONTENT,"ComProp/DemTech; classification of links shared in election-related tweets, junk vs professional news",https://www.oii.ox.ac.uk/news-events/junk-news-dominating-coverage-of-us-midterms-on-social-media-new-research-finds/,2026-06-22
Oxford Internet Institute,academic_thinktank,2019,Junk news not prevalent on Twitter but more shared and liked on Facebook,1.6,CONTENT,DemTech multilingual study of European elections; share of junk vs professional news links across platforms,https://www.oii.ox.ac.uk/news-events/news/junk-news-not-prevalent-on-twitter-but-more-likely-to-be-shared-and-liked-on-facebook-finds-unique-multilingual-study/,2026-06-22
Knight Foundation,academic_thinktank,2018,US adults on average saw and remembered 1.14 fake stories before 2016 election,1.14,RECALL,Gallup/Knight survey paired with recall of specific fabricated stories before 2016 US election,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/,2026-06-22
Knight Foundation,academic_thinktank,2018,Approximately one in four visited a fake news website Oct 7-Nov 14 2016,25%,EXPOSURE,Web-traffic panel; share of individuals who visited at least one fake-news website during 2016 campaign window,https://knightfoundation.org/reports/disinformation-fake-news-and-influence-campaigns-on-twitter/,2026-06-22
Shorenstein Center,academic_thinktank,2020,Almost 6 in 10 visits to fake news websites came from 10% with most conservative diets,60%,CONCENTRATION,Survey responses linked to individual web-traffic histories; concentration of fake-news visits among heaviest consumers,https://shorensteincenter.org/event/fake-news-2016-brendan-nyhan/,2026-06-22
Pew Research,academic_thinktank,2016,About a quarter (23%) of US adults say they have shared a fake political news story,23%,RECALL,Pew nationally representative survey; self-reported sharing of fabricated political news online,https://www.pewresearch.org/journalism/2016/12/15/many-americans-believe-fake-news-is-sowing-confusion/,2026-06-22
Ofcom,regulator_igo,2026,Four in 10 (41%) online UK adults reported encountering misinformation,41,RECALL,"Survey of 7500 UK adults aged 18+, late 2025",https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-22
Ofcom,regulator_igo,2026,56% of social media users came across misleading or false news,56,RECALL,"Survey of 7500 UK adults aged 18+, late 2025",https://www.ofcom.org.uk/media-use-and-attitudes/attitudes-to-news/four-in-10-uk-adults-encounter-misinformation,2026-06-22
