key,section,RULING,RULING_reason
K0|behavioural_arm|merge,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",MERGE_NOW,
K1|W7168358815|quality_drop,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",DROP,
K2|W7170181457|denominators,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",KEEP_BOTH_FLAGGED,
K3|W7163665229|bands,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",DROP,
K4|small_samples|admit,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",ADMIT,
K5|W4414192883|belief_anchor,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",EXCLUDE_ON_N,or idk we could set the bar to 100.. would that make sense? what you think? it's arbitrary... 
K6|W7161962711|fabrication,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",EXCLUDE,
K7|W7117302408_W4407598524|pair,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",CONFIRM_SPLIT,
K8|W4221007759|approx_denominator,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",DROP,
K9|extraction_reversals|three,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",CONFIRM,
K10|contradictions|which_governs,"K. The behavioural arm (24 studies / 40 estimates): merge them, and the 10 calls its extractor left",AS_RECOMMENDED,
A1|85078014559|conc_group_pct,,LEAVE_EMPTY,
A2|105039619015|pink_slime,,REMOVE_ROW,
A3|85194880315|flag,,TAKE_REPORT,
A4|W4407797130|complete_relabel,,COMPLETE,
A5|topic_convention|per_narrative,,PER_NARRATIVE,
A6|W4291473423|fifth_abstract,,ADD,
A7|85136545530|table1_rows,,KEEP_9.9_ONLY,
A8|85162702221|subgroup_docs,,ACCEPT,
B1|format|five_abstracts,,EXCLUDE,
B2|format|grey_kept,,KEEP_GREY,"idk, I'd be tempted to keep the pre-prints in the main analysis if that's fine and if we said so"
B3|format|methods_sentence,,ADD,
C1|84929523850|kcl,,CONFIRM,
C2|85147303661|comprop,,DROP_MEMO_EXCLUDE_GRUZD,
D1|105008525623|gesop,,REMOVE_SPANISH,
E1|105020578144|quality,,BOTH_QUALITY,
E2|105027959122|reach_or_recall,,RECALL_SHARING,"idk I'm confused about htis one, re-read and make a call"
E3|85105511315|content,,CONTENT,
E4|85159598935|sharing_fields,,APPLY,
E5|85163186108|sharing_fields,,APPLY,
E6|85210156482|quality,,APPLY,
E7|85148963619|content,,APPLY,
E8|PMID-33304681|correction,,APPLY,
F1|perception_rows|remove,,REMOVE,
F2|85116003554|36.6,,REPLACE_36.6,
F3|85154558018|reach,,REACH,
F4|105009619554|fields,,APPLY,
F5|105019603181|label,,APPLY,
F6|85160008311|94.8,,ADD,
F7|germany2017|duplicate,,DROP_W3129222959,
F9|view_weighted|construct,,CONTENT,
F10|85100218180|construct,,CONTENT,
F11|third_targets|accept,,ACCEPT,
F12|85055756722|total_vs_parts,,TOTAL_ONLY,
H0|topic_rule|adopt,,ADOPT,
H|2-s2.0-85059494932|topic,,GENERAL_NEWS,
H|2-s2.0-85060025053|topic,,GENERAL_NEWS,
H|2-s2.0-85081743293|topic,,GENERAL_NEWS,
H|2-s2.0-85086037795|topic,,GENERAL_NEWS,
H|2-s2.0-85209547248|topic,,GENERAL_NEWS,
H|2-s2.0-85078014559|topic,,GENERAL_NEWS,
H|2-s2.0-85162702221|topic,,GENERAL_NEWS,
H|2-s2.0-85037352356|topic,,GENERAL_NEWS,
H|2-s2.0-85195353413|topic,,GENERAL_NEWS,
H|stay|political_by_construction,,CONFIRM,
I|2-s2.0-85188173755|not_exposure,,REMOVE,
I|2-s2.0-85142229013|not_exposure,,REMOVE,
I|2-s2.0-85159326203|not_exposure,,REMOVE,
I|2-s2.0-85141611104|not_exposure,,REMOVE,
I|2-s2.0-85097561204|not_exposure,,REMOVE,
I|2-s2.0-85124891836|not_exposure,,REMOVE,
I|2-s2.0-105032107446|not_exposure,,REMOVE,
I|2-s2.0-105012522879|not_exposure,,REMOVE,
I|2-s2.0-85087848582|not_exposure,,REMOVE,
I|hints|one_instrument,,KEEP_ONE_PER_WAVE,
I|conditional|drop,,DROP,
I|mixed_polarity|headline_only,,HEADLINE_ONLY,
J1|denom_selection|reexamine,,APPLY_FILE,
J2|denominators|fill,,APPLY,
J3|values|verify,,VERIFY,
L1|105017599346|25,,KEEP_FLAG,
L2|85059494932|fake_only,,ADD_5,it's fine to have both fake-only and fake + biased; why is it 12 and not 25 as written here 'fake-only (10%) over fake+biased (25%)'? 
T1|freeze|go,,GO,
