id,top_pct,share,denom,measure,detail,quote,note
2-s2.0-105002155467,1,43.2,all_news,topX_share,top 1% of panelists = 43.2% of all reliable news pages,"One percent of the panelists are responsible for visiting 43.2% of news pages but, for unreliable news, 1% of the panelists are responsible for visiti","Direct side-by-side comparison (Zhou et al., Nielsen web panel, N~140k): top 1% of panelists account for 43.2% of ALL re"
2-s2.0-105002155467,1,65.3,other,topX_share,"top 1% of panelists = 65.3% of unreliable/misinfo pages (the misinfo side, stated side-by-side)","This 1% of the panelists are responsible for visiting 65.3% of all unreliable pages in our data; by contrast, 1% of the panelists make up for 43.2% of","Direct side-by-side comparison (Zhou et al., Nielsen web panel, N~140k): top 1% of panelists account for 43.2% of ALL re"
2-s2.0-105017599346,1,77,all_traffic,topX_share,"top 1% most-viewed DOMAINS (not users) = >77% of all URL views, >80% of all URL clicks","We begin with the list of the 2629 most-viewed domains [22], which account for over 77% of all URL views and over 80% of all URL clicks in the U.S. on","CAVEAT: this is DOMAIN-level concentration, not user/account-level. Top 1% of domains account for >77% of all URL views "
2-s2.0-105039619015,,,all_news,other,"qualitative: local-news exposure 'relatively concentrated, with a small number of individuals consuming most of the local news'","we identified which individuals were more likely to consume local news (those high in political interest and knowledge, college educated individuals, ",Pink Slime (Moore et al.). General comparator is qualitative only: traditional LOCAL NEWS exposure described as 'relativ
2-s2.0-85060549676,1,49,all_url_shares,topX_share,top 1% of political-URL sharers = 49% of ALL political-URL shares (vs 82% of fake-news shares),"Overall supersharers: top 1% among panelists sharing any political URLs, accounting for 49% of all shares and 82% of fake news shares.",Grinberg et al. (Science 2019). Direct side-by-side comparison in Fig. 2 caption: misinfo concentration (top 1% = 82% of
2-s2.0-85060549676,1,12,all_exposures,topX_share,top 1% of political-URL consumers = 12% of ALL political-URL exposures (vs 74% of fake-news exposures),"Overall superconsumers: top 1% among panelists exposed to any political URLs, accounting for 12% of all exposures and 74% of fake news exposures.",Grinberg et al. (Science 2019). Direct side-by-side comparison in Fig. 2 caption: misinfo concentration (top 1% = 82% of
2-s2.0-85060549676,,,political_news,other,explicit contrast: fake-news concentration 'unusually high relative to multiple baselines both within and beyond politics' (baseline figures in SM S.15),"These levels of concentration were not only high in absolute terms, they were also unusually high relative to multiple baselines both within and beyon",Grinberg et al. (Science 2019). Direct side-by-side comparison in Fig. 2 caption: misinfo concentration (top 1% = 82% of
2-s2.0-85083323285,10,,all_news,other,cable (general) TV-news consumption dominated by top ~10% of consumers; no share % given,the relative dominance of cable news in the 55+ category is driven by a small minority of voracious news consumers (roughly the top 10% by consumption,Only qualitative general-news concentration statement (top ~10% 'voracious' consumers drive cable-news dominance among 5
2-s2.0-85105454127,1,30,all_url_shares,topX_share,top 1% of real-news sharers = ~30% of all real-news source shares,"Meanwhile, the top 1% of real news ""supersharers"" are only responsible for sharing about 30% of all real news sources.",Direct side-by-side comparison: fake-news sharing top 1% = ~75% of all fake-news links vs real-news sharing top 1% = ~30
2-s2.0-85105454127,1,75,all_url_shares,topX_share,MISINFO side (for comparison): top 1% of panelists = ~75% of all fake-news links,1% of the panelists are responsible for sharing about 75% of all links to fake news publishers and 11% of them are responsible for sharing all fake ne,Direct side-by-side comparison: fake-news sharing top 1% = ~75% of all fake-news links vs real-news sharing top 1% = ~30
2-s2.0-85136023139,10,,other,other,qualitative general-activity skew; superusers = top 10% most active users (>=200 likes/retweets in study period),"Twitter use tends to be heavily skewed, with the vast majority of tweets posted by a small fraction of users. These superusers are an important subset",Only a qualitative general-activity concentration statement (Twitter use heavily skewed; superusers = top 10% most activ
2-s2.0-85145956359,1,24,all_exposures,topX_share,top 1% of respondents account for 24% of exposures to domestic news media,Analogous concentration plots for politicians and news media in Supplementary Methods D show that 1% of respondents account for 24% and 37% of exposur,Direct side-by-side comparison: top 1% of users = 70% of Russian foreign-influence (disinfo) exposures vs 24% (domestic 
2-s2.0-85145956359,1,37,all_exposures,topX_share,top 1% of respondents account for 37% of exposures to politicians,Analogous concentration plots for politicians and news media in Supplementary Methods D show that 1% of respondents account for 24% and 37% of exposur,Direct side-by-side comparison: top 1% of users = 70% of Russian foreign-influence (disinfo) exposures vs 24% (domestic 
2-s2.0-85145956359,1,70,other,topX_share,MISINFO figure for direct comparison: top 1% of respondents account for 70% of exposures to Russian foreign-influence accounts,exposure to foreign influence accounts is concentrated among a small group of respondents: 1% of respondents account for 70% of exposures to posts fro,Direct side-by-side comparison: top 1% of users = 70% of Russian foreign-influence (disinfo) exposures vs 24% (domestic 
2-s2.0-85148963619,15.4,43.1,other,topX_share,verified accounts = ~15% of posters of ALL vaccine content but earn ~43% of retweets of that content (median daily proportions 15.4% posters -> 43.1% retweets),"verified accounts represented approximately 15% of those that posted vaccine content, but were consistently responsible for approximately 43% of that ","Concentration-of-impact comparison by verified accounts: for ALL vaccine content, ~15% of posters (verified) earn ~43% o"
2-s2.0-85194733750,1.69,80,political_news,topX_share,"11,199 panelists (=1.69% of the 664,391 panel) account for 80% of NONFAKE political news; by contrast 0.3% (2,107 supersharers) account for 80% of fake news","the heaviest sharers of nonfake political news (SS-NF, N = 11,199; defined as the set of panelists that account for 80% of nonfake political news)","Compares directly: fake-news sharing top 0.3% -> 80% vs nonfake political news top ~1.69% (11,199/664,391) -> 80%; autho"
2-s2.0-85194733750,,,political_news,other,qualitative direct contrast of concentration (fake more concentrated than nonfake political news),It highlights that fake news sharing (solid purple line) is considerably more concentrated in the population compared with nonfake political news shar,"Compares directly: fake-news sharing top 0.3% -> 80% vs nonfake political news top ~1.69% (11,199/664,391) -> 80%; autho"
2-s2.0-85195353413,0.23,4.35,all_url_shares,topX_share,"1,361 deplatformed users (~0.23% of panel) accounted for 4.35% of ALL URL sharing vs 24.13% of all misinformation URLs (Dec 2020)",These deplatformed users accounted for 4.35% of all URL sharing and 24.13% of all misinformation URLs shared among our sample during December 2020.,Compares directly side-by-side: the same top ~0.23% of users produced only 4.35% of ALL URL sharing but 24.13% of all mi
2-s2.0-85213958624,1,,all_retweets,topX_share,General: 'most' re-shares and views generated by 'a very small percentage of users'; misinfo: <1% of users generate most 'false' content,What these analyses suggest is that most of the re-shares and views accumulated on Facebook are generated by a very small percentage of users. This is,"Compares directly: general re-sharing/views on Facebook are concentrated in 'a very small percentage of users', and this"
2-s2.0-85213958624,1.2,54.5,all_exposures,topX_share,"Concentration at the tree (content) level, not user level: 1.2% of re-shared posts (large trees, k>=100) accumulate 54.5% of all views",The set of large trees that meet the threshold account for 54.5 percent of all views accumulated by all diffusion trees.,"Compares directly: general re-sharing/views on Facebook are concentrated in 'a very small percentage of users', and this"
SEED-cordonnier2021,,40,all_news,topX_share,top 26 information sources (ranked by number of participants) = 40% of all information-consumption time,"In examining the online information sources most consulted by our study's participants, we found that the top 26 sources alone accounted for 40% of th",General-activity (non-misinfo) source-level concentration of the whole online information diet: top 26 sources = 40% of 
SEED-cordonnier2021,,50.4,all_news,topX_share,top 26 sources ranked by total consultation time = 50.4% of all information-consumption time,"Here, the “top 26” account for 50.4% of the time participants spent informing themselves on the Internet.",General-activity (non-misinfo) source-level concentration of the whole online information diet: top 26 sources = 40% of 
W7146985142,,29,all_news,other,"top-3 trustworthy domains = 29% of all trustworthy news visits (2017); domain-level, not user-level","In 2017, the three most visited trustworthy news domains—led by the tabloid Bild at bild.de—accounted for 29% of all visits to trustworthy news.","Oswald & Munzert (Germany, web tracking). Reports domain-level (not user-level) concentration of GENERAL/trustworthy new"
W7146985142,,32,all_news,other,top-3 trustworthy domains = 32% of all trustworthy news visits (2024); domain-level,in 2024 the top three most visited trustworthy domains account for 32% of visits to trustworthy news,"Oswald & Munzert (Germany, web tracking). Reports domain-level (not user-level) concentration of GENERAL/trustworthy new"
SCHOLAR10-chen-sciadv2023,3.8,80,all_news,topX_share,top 3.8% of participants (95% CI 0.0-7.7) account for 80% of MAINSTREAM news channel views on YouTube,"We observe a similar pattern of concentration for mainstream media consumption—only 3.8% (95% CI, 0.0 to 7.7) of participants account for 80% of the total views.","Chen, Nyhan et al., Sci. Adv. 2023 (10.1126/sciadv.add8080). The STUDY is not in the prevalence corpus -- its misinformation-side categories are 'alternative' and 'extremist' channels, which Sacha ruled out on 2026-09-07 as ideology rather than falsity, and because those channel lists are narrow where NewsGuard-style lists are broad. This row is the study's MAINSTREAM contrast, which is a general-news concentration estimate and belongs with the comparison set regardless of that ruling. Its own misinformation-side figures (1.7% -> 80% alternative, 0.6% -> 80% extremist) are deliberately NOT added here."
