n,claim_idx,producer,claim_text,ours,sacha_blind,ruling,final_category,note
1,4,Snopes,Snopes ... 28.65% of its fact-checking articles falling under [real claims] category,FACTCHECK_COMPOSITION,NOT_MISINFO_SPECIFIC,OURS,FACTCHECK_COMPOSITION,
2,36,Meta,Disinformation Dozen responsible for about 0.05% of all vaccine-content views on Facebook,EXPOSURE,CONCENTRATION,SACHA,CONCENTRATION,"it looks like concentration no? I don't understand why it would be exposure; it's like 12 accounts that account for 0.05% of all vaccine-content views on Facebook; the problem is that this '12', is an extremely small proportion, like 0.00000000000000000000000000000000000001, so it's a bit annoying, but that's life"
3,95,Science Feedback (SIMODS),"[R1 X/Twitter/problematic_content] both TikTok and X/Twitter appear as the platforms with the highest prevalence of Problematic content, with prevalence values of 34% [31.7%, 36.5%] and 32% [29.9%, 34.1%], respectively",NOT_MISINFO_SPECIFIC,CONTENT,OURS,NOT_MISINFO_SPECIFIC,"they use a definition of misinformation and the problematic content, you're right that problematic content is braoder than misinforamtin, and not specific "
4,28,OECD,Respondents misidentified true and false content 40% of the time,DISCERNMENT,ATTITUDE,OURS,DISCERNMENT,
5,30,WHO,Misinformation in vaccine-related posts reached up to 51%,ACADEMIC_RELAY,REACH,,,"why is it an academic relay? It's clearly a REACH measure, but if it's cited from an academic paper then yes academic, double check"
6,59,NewsGuard,"40.21% of 6,513 rated sites receive a red unreliable rating",CONTENT,OTHER,SACHA,OTHER,"it's a proportion of sites that are unreliable, it's not CONTENT. It's other, right? "
7,97,Science Feedback (SIMODS),"[R1 YouTube/problematic_content] Facebook ranks third with 27% [24.3%, 29.1%], followed by YouTube at 22% [20.0%, 24.5%], and Instagram with 18% [16.8%, 20.9%].",NOT_MISINFO_SPECIFIC,CONTENT,,,"if it's misinformation then CONTENT, if problematic content then NOT_MISINFO_SPECIFIC"
8,34,Avaaz,16% of top 100 YouTube videos for 'global warming' contained climate misinformation,CONTENT,TOPICAL,OURS,CONTENT,"it doesn't matter, can be both content and topical anyways "
9,35,CCDH,Twelve individuals responsible for 65% of anti-vaccine content on social media,OTHER_NOT_PREVALENCE,CONCENTRATION,OURS,OTHER_NOT_PREVALENCE,
10,12,Reuters Institute,None of the false news outlets reached more than one in 20 readers monthly,OTHER_NOT_PREVALENCE,REACH,,,"why isn't it reach, I'm confused, re-read pls"
11,48,Ofcom,"Among those who encountered it, 71% say they have seen it online",CONDITIONAL_SUBGROUP,RECALL,,,why conditional subgroupd and not recall? explain/re-read
12,73,Meta (rebuttal to CCDH Disinformation Dozen),12 accounts responsible for only 0.05% of all vaccine-related content views,EXPOSURE,CONCENTRATION,SACHA,CONCENTRATION,
13,5,PolitiFact (via HKS Misinfo Review),only 10.95% of PolitiFact's fact-checking articles were classified as real claims,FACTCHECK_COMPOSITION,CONTENT,OURS,FACTCHECK_COMPOSITION,
14,40,TikTok,69.7% of removed COVID-19 disinformation videos had zero views,MODERATION_METRIC,COUNT,OURS,MODERATION_METRIC,
