row_key,item_id,batch,verdict,our_construct,blind_construct,our_value_pct,their_value_pct,our_denominator,their_quote,their_note,our_flag,our_confidence,RULING,RULING_reason
2-s2.0-105001943973#5,2-s2.0-105001943973,verify_04.csv,PAPER_NOT_ELIGIBLE,RECALL,RECALL,47.76,,"2,979 respondents in seven countries (Kantar quota samples), each averaging their estimates for the six countries other than their own",,"This is a mean estimated percentage of perceived misinformation, not a prevalence share.","borderline; loc: Results, section 'Third person effects of perceived misinformation's salience', p. 10; Companion measure to the own-country row: the perceived salience of misinformation in OTHER countries' news environments, not in the respondent's own environment. Kept because it is the paper's second headline number, but it is a perception about other people's environments and should not be pooled with own-environment recall estimates.",high,,
2-s2.0-105001943973#4,2-s2.0-105001943973,verify_04.csv,PAPER_NOT_ELIGIBLE,RECALL,RECALL,53.39,,"2,979 respondents in seven countries (Kantar quota samples: US 545, UK 411, Netherlands 393, Germany 394, France 389, Poland 408, India 439)",,"This is a mean estimated percentage of perceived misinformation, not a prevalence share.","borderline; loc: Results, section 'Third person effects of perceived misinformation's salience', p. 10; The number is a mean of respondents' perceived percentages, not a share of respondents; the denominator for the mean is the 2,979 respondents. Data-collection dates are not reported; year set to 2023 from the 20 November 2023 submission date. Country-level values appear only in Figures 1 and 2; the text reports only own-minus-other differences for the US (16.3), India (12.6) and Poland (8.9), which are differences and not shares, so no per-country rows were made.",high,,
2-s2.0-105003865545#23,2-s2.0-105003865545,verify_03.csv,PAPER_NOT_ELIGIBLE,CONTENT,CONTENT,66,,100 adult-CPR instructional videos retrieved with the keyword 'CPR 视频' on three Chinese short-video platforms,,"The paper measures CPR instructional quality/procedural failure, not misinformation prevalence.","borderline; loc: Results, 'Evaluation of CPR procedures', p. 3; Discussion, p. 7; Two-column PDF text: the sentence 'In details, 67% of the videos showed extra time spent removing foreign body airway obstruction, 66% showed failure to check for responsiveness...' is split across column fragments, so the quote is the contiguous Discussion fragment. Borderline for the same reason as the airway row: an incorrect demonstrated technique rather than a false claim.",medium,,
2-s2.0-105020727860#56,2-s2.0-105020727860,verify_03.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,3.75,,"80 reviews (10 Delphi-consensus questions answered by Perplexity AI, each rated by 8 sports-medicine fellowship-trained orthopaedic surgeons)",,"The paper reports quality ratings of chatbot answers, not a quantitative misinformation share.","borderline; loc: Results, 'Accuracy of LLM responses', p. 3; 3/80 = 3.75%: exact part/whole from the verbatim count and the verbatim denominator of 80 reviews. Count verified against Table 1 (Q3 R5, Q3 R6, Q4 R5). Source quote truncated by the extraction's column interleaving; full sentence: 'For Perplexity AI, there were three total responses rated as a 4, for two different questions (#3, #4) amongst two different reviewers.'",medium,,
2-s2.0-105020727860#55,2-s2.0-105020727860,verify_03.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,6.25,,"80 reviews (10 Delphi-consensus questions answered by ChatGPT4o, each rated by 8 sports-medicine fellowship-trained orthopaedic surgeons)",,"The paper reports quality ratings of chatbot answers, not a quantitative misinformation share.","borderline; loc: Results, 'Accuracy of LLM responses', p. 3; 5/80 = 6.25%: exact part/whole from the verbatim count of Mika-4 ratings and the verbatim denominator of 80 reviews (the percentage itself is not printed). Count verified against Table 1 (Q4 R5, Q5 R4, Q7 R1, Q9 R4, Q10 R4). Source quote is truncated because the PDF's two-column text is interleaved in the extraction; the full sentence reads 'For ChatGPT4o, there were five total responses rated as a 4, however they were all for different questions (#4, #5, #7, #9, #10), with three (60%) from one reviewer.'",medium,,
2-s2.0-105020727860#58,2-s2.0-105020727860,verify_03.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,1.25,,"80 reviews (10 Delphi-consensus questions answered by Claude2, each rated by 8 sports-medicine fellowship-trained orthopaedic surgeons)",,"The paper reports quality ratings of chatbot answers, not a quantitative misinformation share.","borderline; loc: Results, 'Accuracy of LLM responses', p. 3; 1/80 = 1.25%: exact part/whole from the verbatim count and the verbatim denominator of 80 reviews. Count verified against Table 1 (Q4 R5). Quote runs into the following sentence because of the extraction's column interleaving.",medium,,
2-s2.0-85130165220#179,2-s2.0-85130165220,verify_08.csv,PAPER_NOT_ELIGIBLE,SHARING,SHARING,2.9,,"43,832 Twitter users who posted about COVID-19 at least once between 1 Jan 2019 and 15 Jul 2020, after filtering out inactive accounts (from an initial 76,985 users)",,Classifier-based causal treatment/control design; excluded detection/classifier work rather than a reportable misinformation prevalence estimate.,"loc: Methods, 'Creating control and treatment groups', p. 3; Percentage not printed by the authors; it is an exact part/whole from the two verbatim counts in the same sentence (1,288/43,832), permitted under R8. The complementary figure 31,002/43,832 (70.7%) is the share who shared NO misinformation; users who shared one to four misinformative posts belong to neither group, so the paper never reports the share of users who shared ANY misinformation. Sensitivity thresholds of 3 and 7 posts are mentioned but the corresponding user counts are not given.",high,,
2-s2.0-85196762281#262,2-s2.0-85196762281,verify_03.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,61.4,,70 YouTube videos remaining after duplicates and exclusions from the first 35 relevance-sorted results for each of five ECV search terms (175 selected),,"The paper reports usefulness ratings for videos, not a quantitative misinformation share.","borderline; loc: Table 2, Results, p. 5; QUALITY, not CONTENT: 'not useful' is dominated by failure to cover guideline checklist items and by mDISCERN reliability, not by falsity, and misinformation contributes at most a deduction (mean 0.7 of 16 points in this group). A factually accurate but incomplete video scores 'not useful'. Rank-truncated sampling (first 35 results per term, sorted by relevance, incognito) makes the denominator curated rather than a census of ECV videos. Country not stated; the search was run in English without a signed-in account, so coded Global.",high,,
2-s2.0-85197342411#264,2-s2.0-85197342411,verify_03.csv,PAPER_NOT_ELIGIBLE,CONTENT,CONTENT,0,,"20 chatbot answers (the first ten non-duplicate 'people also ask' questions from a Google search on 'anterior cruciate ligament', put to ChatGPT-3.5 and to Google Bard)",,The paper reports expert Global Quality Scores and says no misinformation was encountered; it does not report a quantitative misinformation share.,"borderline; loc: Section 4 (Discussion), sports medicine paragraph; Zero prevalence stated in words, not as a count or percentage; the denominator (ten questions per chatbot) comes from the Methods. Data-collection date not reported, so year is the publication year. Country not reported; coded Global.",medium,,
2-s2.0-85197342411#269,2-s2.0-85197342411,verify_04.csv,PAPER_NOT_ELIGIBLE,QUALITY,QUALITY,3.5,,10 Google Bard answers rated by two expert paediatric orthopaedic surgeons,,"This is a mean Global Quality Score, not a prevalence share.","loc: Section 3 (Results), second paragraph; GQS is a quality scale, not a falsity judgement; row kept as QUALITY and excluded from prevalence.",high,,
