study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85143601086,LOW,LOW,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,"By misinformation, we mean false or misleading infor‐","Our full sample includes 6,068 respon‐","Four-country online panel survey (Lightspeed Kantar, Feb 2021, N=6,068), quota-matched to census: target population and frame are a real public (items 1-2 LOW). Quota, non-probability opt-in panel = item 3 HIGH; no response or attrition rate reported = item 4 HIGH. Item 5 LOW (direct self-report from the subjects). Item 6 HIGH: exposure is respondent-judged against only the bare stem 'false or misleading information' - no external ground truth; the authors themselves call it a 'subjective' measure. Item 7 HIGH: single unvalidated self-report item, no reliability (the companion awareness index alpha=0.595). Item 8 LOW (one online instrument, English/French). Item 9 LOW (Feb 2021 fielding, 'past month' reference period stated, cross-sectional). Item 10 LOW: numerator = respondents reporting exposure, denominator = all country respondents, which is the parameter claimed."
2-s2.0-85145738265,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,LOW,4,MODERATE,full_text,Misinformation: Dental fear and dental phobia are the same thing. Truth: They differ in,and 17 videos (11.7%) contained misleading information. The Cohen’s kappa,"Cross-sectional YouTube content analysis (3 keywords, 25 Oct 2022, top 100 most-viewed each, 145 included). Items 1-3 HIGH: a purposively assembled keyword-seeded, top-N-by-views corpus is not a real audience's diet. Items 4-5 NA (content-only). Item 6 HIGH: no formal definition of misinformation; the falsity key is the coders' own discipline knowledge, each false claim paired with an author-written 'Truth:' statement, with no published external standard invoked. Item 7 LOW: reliability reported (eligibility kappa 94.7%, misleading-information coding kappa 93%). Item 8 LOW (one platform, one search date, same two coders). Item 9 LOW (search date stated). Item 10 LOW: 17/145 - numerator and denominator are the same defined video set; the curation is already penalised at items 1-3."
2-s2.0-85146080522,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,Themes of misinformation included inaccurate var-,A substantial portion (23%) of videos presented inaccurate,"TikTok varicocele content analysis (keyword 'varicocele', first 225 by engagement 'top' sort, 24 May 2022, 36 included). Items 1-3 HIGH: keyword-seeded, engagement-ranked artificial universe. Items 4-5 NA. Item 6 HIGH: inaccuracy judged by three clinicians against their own clinical knowledge with no named guideline or external key; DISCERN is present but is a quality instrument and is reported only as means. Item 7 HIGH: the only reliability figure (Fleiss kappa 0.812) is explicitly for the video QUALITY ratings, not for the misinformation judgement, which uses no validated instrument. Item 8 LOW, item 9 LOW (single search date). Item 10 LOW: 23% of the 36 included videos - a defined total."
2-s2.0-85147187174,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,LOW,4,MODERATE,full_text,misleading (scientifically inaccurate information or content that is not evidence‐based),"whilst misleading videos (12/562, 2.13%) were minimal.","COVID-19 YouTube videos in 11 languages of Africa (search 5 Sep 2020, first 50 relevant per term, 562 videos). Items 1-3 HIGH: keyword-seeded top-N relevance frame. Items 4-5 NA. Item 6 HIGH: 'misleading' is one of four author-devised content-type categories defined only as 'scientifically inaccurate or not evidence-based'; the WHO/CDC guidelines cited in the paper were used to build the MICI QUALITY/completeness scale, not as an accuracy key for the misleading category, so there is no external falsity standard. Item 7 LOW: Cohen's kappa reported per language (all p<0.001) and modified DISCERN used. Item 8 LOW (one date, one protocol; English took 75 videos rather than 50). Item 9 LOW (5 Sep 2020 stated). Item 10 LOW: 12/562 over the full screened set."
2-s2.0-85147686336,LOW,LOW,LOW,NA,NA,LOW,HIGH,LOW,LOW,LOW,1,LOW,full_text,"comparing to published IPF guidelines ( 1 , 2 , 4 ), whether a therapy was mentioned, the name of any","Of these, 115 tweets (7%) were found to be","IPF Twitter content analysis. Items 1-3 LOW: a complete snscrape census of every tweet matching 'idiopathic pulmonary fibrosis' (16,787 for 2011-2019; the 2018-2019 subset of 4,861 eligible tweets analysed) is an exhaustive topic census of a real audience-facing corpus, not a curated or top-N frame. Items 4-5 NA. Item 6 LOW: accuracy judged against published ATS/ERS/JRS/ALAT clinical practice guidelines - a pre-existing external standard used as an accuracy key. Item 7 HIGH: two physician coders with consensus and a third adjudicator, but no inter-rater reliability statistic is reported and no validated coding instrument is used; coders were not blinded to tweet source. Item 8 LOW. Item 9 LOW (2018-2019 window stated). Item 10 LOW: 115/1,612 verifiable-statement tweets; the parent total (1,612/4,861, 33%) is reported so the restriction to checkable tweets is explicit and recoverable, and verifiability is not selection on the outcome - noted as the one borderline call."
2-s2.0-85147755699,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,Videos containing clinically incorrect or unproven information based on currently available,mation that was considered useful and 1.7% (8/453) not,"Myositis YouTube content analysis (9 search terms, March 2021, first 100 relevance-ranked per term, 453 of 900 included). Items 1-3 HIGH: keyword-seeded, relevance-ranked top-N frame. Items 4-5 NA. Item 6 HIGH: the 'not very useful/misleading' category is author-devised ('clinically incorrect OR unproven information'), bundles unproven with incorrect so non-falsity can carry the code, and names no external standard. Item 7 HIGH: the reported kappas (mDISCERN 0.686, GQS 0.469, JAMA 0.537) belong to the quality instruments; the physician usefulness classification that generates the misinformation share has no reliability figure, and agreement between physician-decided and score-based usefulness is only 0.129. Item 8 LOW, item 9 LOW (March 2021 stated). Item 10 LOW: 8/453 over the full included set."
2-s2.0-85148028260,HIGH,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,LOW,4,MODERATE,full_text,We assigned a citation as supported if the,We evaluated 593 papers citing seven influential studies on CMN,"Citation analysis of common mycorrhizal network claims. Item 1 HIGH and item 2 HIGH: the universe is purposively assembled - 18 'influential' field studies chosen as those with at least 50 Web of Science citations - and the citing-paper corpus is a scientific literature, not an audience's information diet. Item 3 LOW: within that frame every citing paper was coded (593 and 1,083 papers, a full census). Items 4-5 NA. Item 6 HIGH: 'supported vs unsupported' is the three authors' own evidentiary judgement against the cited study, with no external or pre-existing standard, and the criterion includes 'alternative interpretations were consistent with the evidence' - an interpretive, not a falsity, test. Item 7 HIGH: no inter-coder reliability, no independent coder, no validated instrument; the authors note some unsupported citations were their own. Item 8 LOW. Item 9 LOW: the citation record is analysed year by year and the estimate is anchored to the most recent year of that record (no separate database-access date is given in the cached text). Item 10 LOW: unsupported citations over all citations in the year - the pair answers the claimed share."
2-s2.0-85149209612,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,HIGH,LOW,5,MODERATE,full_text,misinformation. This scale was based on the reviewer’s,patient education and only 22% provided moderate or more. More than a third (35%) of,"Emergency general surgery YouTube content analysis (six keywords, 100 most-viewed per procedure, 200 videos). Items 1-3 HIGH: keyword-seeded, top-viewed-N frame. Items 4-5 NA for the extracted content estimates (the 25-patient postoperative survey is a separate, non-extracted aim). Item 6 HIGH: misinformation is a 1-5 Likert rating explicitly 'based on the reviewer's perception', with no external fact-check reference at all - the clearest author-devised case definition in the batch. Item 7 LOW: 85% percent agreement across all items on a random 10% of videos, and DISCERN/PEMAT are validated instruments (no kappa, though). Item 8 LOW. Item 9 HIGH: no search or collection date is reported anywhere in the text. Item 10 LOW for the extracted headline: 35% of the defined 200-video set; note the colloquial-vs-medical subgroup shares (45.3% vs 20.5%) are reported without their subset denominators."
2-s2.0-85150021066,HIGH,HIGH,HIGH,NA,NA,HIGH,LOW,LOW,LOW,HIGH,5,HIGH,full_text,a news article but present claims unsupported by the source are candidates for misinformation.,"Of the 200 manual annotations discussed above, 55 are labeled as deceptive (i.e., 27.5%). This,","Deceptive-support detection on COVID-19 Twitter. Items 1-3 HIGH: the Banda corpus is real, but it is narrowed by 52 COVID keywords, then to tweets linking to 27 top-Alexa news domains, then by an XLNet check-worthiness classifier and a single-sentence filter - a layered, purposively assembled universe - and the annotated items are those the step-1 classifiers flagged, i.e. selection on the outcome. Items 4-5 NA. Item 6 HIGH: the case definition is 'the cited article does not support the claim', which the authors themselves call only 'candidates for misinformation' - an unsupported claim can be true, and there is no external falsity standard. Item 7 LOW: Fleiss kappa 0.822 (check-worthiness) and 0.756 (support) reported. Item 8 LOW. Item 9 LOW: March-May 2020 subset of the Jan-Jun 2020 corpus, window stated. Item 10 HIGH: the headline 27.5% has as its denominator the 200 classifier-flagged pairs, a set selected on the outcome, and the alternative framing (55 of ~5,000) is an explicit lower bound over check-worthy, single-sentence, 27-domain-linking test tweets - neither pair answers the prevalence of COVID misinformation on Twitter. Items 6 and 10 both HIGH."
2-s2.0-85153780137,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,5,MODERATE,full_text,the observation of fake news related to COVID-19 going viral,was reported by 58.8% (n = 118 out of 199) of the,"Two-wave Ukrainian online survey (n=199 then n=152). Item 1 LOW: the target population is a real public (Ukrainian adult social media users). Item 2 HIGH: no sampling frame - a Google Forms instrument distributed by snowballing through social media. Item 3 HIGH: snowball/convenience. Item 4 HIGH: self-selected, no response rate, sample skewed young, 81.2% female, 42.9% students. Item 5 LOW (direct self-report). Item 6 HIGH: no definition of 'fake news' is given anywhere; the measure is the respondent's own judgement that fake news 'went viral' in their city. Item 7 HIGH: a single unvalidated yes/no item (the validated PSS-10 and GAD-7 cover the mental-health outcomes, not this measure). Item 8 LOW (same instrument both waves). Item 9 LOW: both fieldwork windows stated (15 Mar-25 Apr 2020; 10 Oct-25 Nov 2020). Item 10 LOW: 118/199 - respondents answering yes over all wave-1 respondents."
