order,item_id,author,our_call,our_verdict,confidence,rule,your_decision,your_note
"4","2-s2.0-105009619554","de Vries W.","KEEP","LLM_RIGHT_KEEP","med","[PROVISIONAL - no local fulltext] neutral-prevalence (topical)","agree","seems pretty clear that they measure misinfo. The most relevant bit is probably ""Most videos (52 %) contained partial misinformation, while 27 % of them were entirely misleading""."
"5","2-s2.0-105007777349","Rasheed I.B.","KEEP","LLM_RIGHT_KEEP","med","neutral-prevalence (topic/keyword content sample; not source-level)","agree",""
"6","2-s2.0-105011696813","Bastos B.","DROP","LAURA_RIGHT_DROP","high","SELECTED-BY-MISINFO / CREATOR-CONCENTRATION","agree",""
"7","2-s2.0-105014962937","Furukawa E.","DROP","LAURA_RIGHT_DROP","med","QUALITY/STANCE","agree","their mdiscern measure is based on: ""mDISCERN is a simplified version of DISCERN developed by Charnock et al. [38], which is an indicator dedicated to information reliability. In past social media studies, this indicator has been frequently
used for the purpose of detecting and analyzing misinformation;
DISCERN focuses on clarity, source reliability, and bias, but since these
factors are often inconsistent across social media platforms and are
particularly suited for evaluation by DISCERN [39,40]. mDISCERN was
E. Furukawa et al. PEC Innovation 7 (2025) 100428
2
chosen for this study for three reasons: (1) It is widely used as an indicator to assess the quality of healthcare information. (2) It is helpful in
content analysis in the context of non-English-speaking countries [41],
and (3) It is frequently used in studies targeting social media [42,43]. All
items are binary variables (Yes: 1 point; No: 0 point), with a total score
range of 0–5. Higher mDISCERN scores indicate higher-quality information provision (Table 2)"" BUT I don't think it measures misinformation, e.g., 'the absence of
source attribution and a lack of reference to uncertainty' are not enough imo to be considered misinformation, and most of the sample is classified as low score because they lack these two things... so I agree we drop. Note: it's really not a big lost, they analyze only 72 videos... that's extremely small"
"11","2-s2.0-105031695645","Aldurdunji M.M.","DROP","LAURA_RIGHT_DROP","high","not-a-prevalence (perception survey)","agree",""
"12","2-s2.0-105039619015","Dahlke R.","KEEP","LLM_RIGHT_KEEP","high","neutral-prevalence (site-list applied to real audience exposure)","agree",""
"13","2-s2.0-105041276064","Ahner E.","KEEP","LLM_RIGHT_KEEP","high","neutral-prevalence","disagree","sure, but (i) i dont find a clear estimate, there is no such thing as '9.6% of widely-viewed IUD TikTok videos had a physician-adjudicated false claim'. And 400 videos is very small. I would drop"
"14","2-s2.0-84869090226","Bryant A.G.","DROP","LAURA_RIGHT_DROP","high","SOURCE-LEVEL","agree",""
"16","2-s2.0-85037352356","Fourney A.","KEEP","LLM_RIGHT_KEEP","high","neutral-prevalence","agree","confusing for Laura, because we said to exclude studies within fake/misinformation, but actually, for concentration it's ok... we should have been clearer about this"
"18","2-s2.0-85056602344","Shao C.","DROP","LAURA_RIGHT_DROP","high","SELECTED-BY-MISINFO + CREATOR-CONCENTRATION","agree",""
