id,construct,value_pct,measure_type,denominator,source_quote,n_frozen_rows,definition_variant,borderline,confidence,text_status
2-s2.0-105004472114,RECALL,65.8,% of survey respondents who reported having previously encountered at least one of seven political disinformation narratives,"3,240 Czech-speaking adults aged 16+ in a quota-balanced national online panel (final analytic sample)","Exposure to disinformation. Approximately one third of participants (34.2 %) reported not recognizing any of the seven disinformation narratives presented. ... Among those who had encountered at least one disinformation item (N = 2131), the majority (86 %) did not share any",2,False,False,high,ok
2-s2.0-105004472114,RECALL,3.2,% of respondents who had encountered at least one disinformation narrative who reported sharing ALL the narratives they had encountered,"2,131 respondents who reported encountering at least one of the seven disinformation narratives","Among those who had encountered at least one disinformation item (N = 2131), the majority (86 %) did not share any, while 3.2 % (N = 68) reported sharing all the disinformation narratives they had encountered.",2,True,False,high,ok
2-s2.0-105004472114,RECALL,8.2,Mean % of the disinformation narratives a respondent had encountered that they reported sharing,Disinformation narratives recognised by respondents (mean of within-person share-of-encountered ratios),"On average, participants shared 0.18 disinformation items (SD = 0.70), corresponding to 8.2 % of the recognized disinformation narratives (SD = 22.4 %).",2,True,True,medium,ok
W4210350805,RECALL,49.4,% of surveyed civil servants who said their reaction on first getting the false 'deadly vaccine' report was to alert others,332 civil servants of the Anambra State Secretariat who returned the questionnaire,"Table 18 Respondents' Reaction on First Getting the ""Deadly Vaccine"" Report — I got my wards out of school 120 (36.1); I alerted others 164 (49.4); I did nothing 48 (14.5); Total 332 (100.0)",5,False,True,medium,ok
W4318617911,CONTENT,5.0,% of the 300 most-retweeted tweets across three Brazilian political conflicts coded as FABRICATED content (wholly false information),The same 300 most-retweeted tweets (100 per conflict),"18 tweets tenían en su redacción una conexión falsa entre los puntos mencionados, 17 de ellos tenían información falsa con el objetivo de satirizar la situación y 15 de ellos tenían contenido fabricado (tabla 4), es decir, información 100% falsa.",1,True,False,high,ok
W7168027278,RECALL,82,% of Catholic youth respondents naming WhatsApp as a platform on which religious misinformation reaches them,500 Catholic youths surveyed via Google Forms across Nigeria's six geopolitical zones,"Findings from the second research question indicate that WhatsApp (82%) is the most significant platform for the spread of religious misinformation among Catholic youth in Nigeria, followed by Facebook (70.8%), TikTok (59.2%), and Instagram (40.2%).",2,False,True,low,ok
W7168027278,RECALL,70.8,% of Catholic youth respondents naming Facebook as a platform on which religious misinformation reaches them,500 Catholic youths surveyed via Google Forms across Nigeria's six geopolitical zones,"Findings from the second research question indicate that WhatsApp (82%) is the most significant platform for the spread of religious misinformation among Catholic youth in Nigeria, followed by Facebook (70.8%), TikTok (59.2%), and Instagram (40.2%).",2,False,True,low,ok
W7168027278,RECALL,59.2,% of Catholic youth respondents naming TikTok as a platform on which religious misinformation reaches them,500 Catholic youths surveyed via Google Forms across Nigeria's six geopolitical zones,"Findings from the second research question indicate that WhatsApp (82%) is the most significant platform for the spread of religious misinformation among Catholic youth in Nigeria, followed by Facebook (70.8%), TikTok (59.2%), and Instagram (40.2%).",2,False,True,low,ok
W7168027278,RECALL,40.2,% of Catholic youth respondents naming Instagram as a platform on which religious misinformation reaches them,500 Catholic youths surveyed via Google Forms across Nigeria's six geopolitical zones,"Findings from the second research question indicate that WhatsApp (82%) is the most significant platform for the spread of religious misinformation among Catholic youth in Nigeria, followed by Facebook (70.8%), TikTok (59.2%), and Instagram (40.2%).",2,False,True,low,ok
scholar_02,CONCENTRATION,82.21,"Share of all engagement (navigation) with unreliable sites that originates from unreliable-site navigational queries, which are themselves 0.88% of searches",all engagement (clicks/navigations from Bing results) with unreliable sites in sample 1; ~900 million navigation instances were captured across the study,"Overall, USNQ searches make up a small percent of the total searches, 0.88% in sample 1 and 1.62% in sample 2. ... in sample 2, USNQ searches account for less than 2% of searches, yet more than 82% of the engagement with unreliable sites originate from a USNQ search (Table 1).",4,False,True,medium,ok
