id,blind_screen,reason,n_frozen_rows
2-s2.0-105007993526,EXCLUDE,"QUALITY-ONLY study. 105 Turkish-language YouTube scabies videos were rated on the modified DISCERN, GQS and JAMA scales, all of which are quality/reliability instruments, not truth/falsity judgements against an external ground truth (a fully accurate video can still score low on DISCERN item 4 'Are additional sources of information listed?' or on JAMA 'Currency'). Every score is reported only as a",0
2-s2.0-105009085931,EXCLUDE,"QUALITY-ONLY study (INSTRUCTIONS section 1 exclusion, section 3 rule). The 279 Mpox tweets are scored on the Global Quality Scale (usefulness/completeness for patients) and the modified DISCERN reliability instrument (aims clear, sources cited, balance, further sources, uncertainty). Neither instrument judges a post true or false: a wholly accurate tweet scores 1 on the GQS if it is thin, and 0 on",0
2-s2.0-105009525336,EXCLUDE,"QUALITY-ONLY study. The 100 TikTok contraception videos were appraised with the DISCERN instrument (reliability / quality / overall-quality subscales) and reported as MEDIAN SCALE SCORES (DISCERN-T median 27, min-max 24-30.5), never as a share of videos judged false, misleading or inaccurate against any external ground truth. No item was coded true/false; no fact-check, guideline-concordance or so",0
2-s2.0-105012550022,EXCLUDE,"QUALITY-ONLY study, the case §1 excludes and §3 defines. The 200 videos (100 TikTok, 100 Bilibili) were scored only on the Global Quality Score (1-5), a modified DISCERN reliability checklist (0-5), PEMAT understandability/actionability, and a 0-14 content-completeness score. No video is ever judged true or false against any external ground truth, and no share of videos is reported as inaccurate, ",0
2-s2.0-105018851946,EXCLUDE,"Qualitative-only content analysis plus focus groups and an awareness survey; no quantitative share of content judged false or misleading, and no survey item asking about encountering misinformation. The 105 most-advertised Megafon videos were analysed qualitatively (narratives, linguistic and visual tools); the only counts given for them are topical (39/105 on Peter Magyar, 22/105 on the Ukraine w",1
2-s2.0-105019225029,EXCLUDE,"QUALITY-ONLY study. Despite 'misinformation' in the title, the 74 videos were assessed only with DISCERN, JAMA and the Global Quality Score, which rate reliability, completeness, authorship disclosure and usefulness. No item is judged true or false against an external ground truth, and the only share reported, 'only 24% rated as high quality', has high-quality videos in its numerator, not misinfor",0
2-s2.0-105030444680,EXCLUDE,"No quantitative share of ITEMS (or people) classified false with an item denominator. Every percentage in the paper is a share of researcher-assigned 'Reflexive Control technique' codes: 883 tweets/retweets yielded 2598 technique codes ('an average of two RC techniques per tweet'), and the four process totals (Affecting the Adversary's Decision-Making 70.2%, Affecting Perception by Providing False",1
2-s2.0-105030827603,EXCLUDE,"QUALITY-ONLY study (INSTRUCTIONS §1 exclusion, §3 definition). Despite the title's 'misinformation epidemic' framing, the 43 Portuguese-language tooth-bleaching videos are never judged true or false against any external ground truth. Every reported share is a score distribution on a quality/reliability instrument: modified DISCERN reliability (1-5), the Global Quality Score (1-5), a five-item usef",0
2-s2.0-105035036279,EXCLUDE,"QUALITY-ONLY study (§1 exclusion ground, cross-referenced to §3). The 300 videos (top 100 for the keyword 'dietary weight loss' on BiliBili, Douyin/TikTok and Kwai, 28 Feb 2024) were scored ONLY with the Global Quality Score (GQS, 1-5 for flow, ease of understanding, overall usefulness) and modified DISCERN (0-5 for clarity, reliability, fairness, references, rigor). No item is ever judged true or",0
2-s2.0-105037482660,EXCLUDE,"QUALITY-ONLY study with no share. The 151 Chinese-language TikTok videos on aortic dissection were scored only with the Global Quality Scale (GQS 1-5) and modified DISCERN (0-5), and the results are reported exclusively as medians with IQRs (median GQS 3 (IQR 2-4); median mDISCERN 2 (IQR 1-2)), plus regression coefficients. No video is ever classified as false, misleading, inaccurate or misinforma",0
