eid,verdict,construct,reason
2-s2.0-85144802740,SKIP,belief,vaccine hesitancy association not prevalence measure
2-s2.0-85145359941,EXTRACT,% content false,quantifies scale of Arabic COVID misinfo on Twitter
2-s2.0-85145702361,EXTRACT,% content false,counts hoaxes spread during Catalonia riots
2-s2.0-85145735327,EXTRACT,% content false,content analysis of climate disinformation in news
2-s2.0-85145881152,EXTRACT,% content false,estimates validity/credibility of WhatsApp health messages
2-s2.0-85146480094,EXTRACT,% content false,content analysis of CAM pseudoscience in Spanish media
2-s2.0-85147181691,EXTRACT,behavioural exposure,infodemic risk index tracks misinfo tweet volume
2-s2.0-85147515236,EXTRACT,% content false,proportion pro-HCQ misinformation in YouTube videos
2-s2.0-85147763511,EXTRACT,% content false,content analysis of fake news characteristics in Spain
2-s2.0-85148213243,EXTRACT,real-world sharing,fake news spreaders and sharing patterns in 2018 Brazil election
2-s2.0-85153322972,EXTRACT,% content false,quantifies misinfo prevalence on TikTok epilepsy content
2-s2.0-85153766483,EXTRACT,real-world sharing,QAnon Facebook activity and spread patterns
2-s2.0-85153931706,EXTRACT,% content false,characterizes image-based COVID misinfo on Twitter
2-s2.0-85159132676,SKIP,other,bots amplifying climate content; no % false or exposure measure
2-s2.0-85159288701,EXTRACT,% content false,false vs true info spread in Chilean social media
2-s2.0-85159598935,EXTRACT,real-world sharing,disinformation flow on Twitter during US 2020 election
2-s2.0-85160248068,EXTRACT,behavioural exposure,partisan news exposure vs engagement on Facebook
2-s2.0-85160644203,EXTRACT,% content false,identifies and characterizes online oral health misinformation
2-s2.0-85163154882,EXTRACT,real-world sharing,political misinfo spread on subcultural platforms
2-s2.0-85164339474,EXTRACT,% content false,COVID-19 misinformation prevalence in TV news coverage
2-s2.0-85164694763,EXTRACT,behavioural exposure,quantifies cross-border antivax misinformation flows
2-s2.0-85165113639,EXTRACT,real-world sharing,fake news virality in Philippine elections 2022
2-s2.0-85165815218,EXTRACT,behavioural exposure,ideological segregation in news exposure on Facebook
2-s2.0-85167658691,EXTRACT,behavioural exposure,political content prevalence outside news websites
2-s2.0-85168003167,EXTRACT,behavioural exposure,self-reported cancer misinfo exposure and sharing survey
2-s2.0-85168143515,EXTRACT,real-world sharing,how crowd-factchecked misinfo spreads on Twitter
2-s2.0-85168270535,EXTRACT,concentration,proportion misinfo vs non-misinfo earthquake tweets over time
2-s2.0-85169366881,EXTRACT,behavioural exposure,patterns of exposure to COVID misinfo across cities
2-s2.0-85169390039,EXTRACT,real-world sharing,sharing rates of COVID misinfo after exposure
2-s2.0-85170522441,EXTRACT,% content false,electoral disinformation content analysis across Spain campaigns
2-s2.0-85170530355,EXTRACT,real-world sharing,social media manipulation in 2020 US election tweets
2-s2.0-85171477190,EXTRACT,% content false,vaccine debate misinfo on Twitter during AstraZeneca suspension
2-s2.0-85171790186,EXTRACT,real-world sharing,US state lawmakers sharing low-credibility URLs on Twitter
2-s2.0-85171830494,EXTRACT,real-world sharing,true vs false rumor sharing dynamics on Twitter
2-s2.0-85172444815,EXTRACT,real-world sharing,politicians sharing misinformation on Twitter 2011-2022
2-s2.0-85172813494,EXTRACT,behavioural exposure,survey on reach of disinformation narratives in Spain
2-s2.0-85173224200,EXTRACT,% content false,misinfo proportion in tweets of Bolsonaro and Abascal
2-s2.0-85173661830,EXTRACT,% content false,COVID vaccine misinfo in Arabic YouTube content
2-s2.0-85174615177,EXTRACT,% content false,misinfo prevalence in ophthalmology TikTok content
2-s2.0-85174810384,EXTRACT,% content false,misinfo prevalence and engagement across topics on social media
2-s2.0-85176291669,EXTRACT,% content false,misinfo about involuntary commitment in media coverage
2-s2.0-85177420309,EXTRACT,% content false,conspiracy theory quality in Google search results across countries
2-s2.0-85177471938,EXTRACT,% content false,COVID misinfo narratives across 3 years from unverified sources
2-s2.0-85178101068,EXTRACT,% content false,unreliable source prevalence in Wikipedia references
2-s2.0-85178921087,EXTRACT,real-world sharing,misinfo spread depth/breadth on Weibo
2-s2.0-85179481261,EXTRACT,real-world sharing,anti-Muslim fake news diffusion on Twitter in India
2-s2.0-85180257790,EXTRACT,% content false,COVID hoax categories and counts in Indonesia
2-s2.0-85180369631,EXTRACT,% content false,Chinese state media vaccine misinfo quantity analysis
2-s2.0-85180489491,EXTRACT,behavioural exposure,production consumption and diffusion of misinfo on social media
2-s2.0-85181200454,EXTRACT,behavioural exposure,perceived misinfo exposure across 46 countries
2-s2.0-85182846541,EXTRACT,real-world sharing,low-credibility URL sharing on Twitter after AZ vaccine news
2-s2.0-85183930034,EXTRACT,real-world sharing,fake news network features in 2020 South Korean election
2-s2.0-85184873133,EXTRACT,real-world sharing,US politicians sharing low-quality news by party
2-s2.0-85186741013,SKIP,theory,game-theoretic model not empirical misinfo measure
2-s2.0-85187117251,EXTRACT,behavioural exposure,algorithmic amplification of low-credibility content on Twitter
2-s2.0-85188687142,EXTRACT,behavioural exposure,news diet of disinformation spreaders
2-s2.0-85188806397,EXTRACT,real-world sharing,disinformation volume on Twitter in 2020 US election swing states
2-s2.0-85189142904,EXTRACT,% content false,misinfo prevalence in thyroid cancer YouTube videos
2-s2.0-85190850262,EXTRACT,real-world sharing,corporate fake news spread patterns on Twitter
2-s2.0-85191871572,EXTRACT,% content false,misinfo rate in alternative media Facebook posts COVID
2-s2.0-85192635397,EXTRACT,behavioural exposure,news and misinfo consumption comparison across European countries
2-s2.0-85192732462,EXTRACT,behavioural exposure,unreliable content rabbit holes via website referrals
2-s2.0-85194075145,EXTRACT,behavioural exposure,news exposure and consumption on social media
