n,id,order,title,year,journal,doi,pipeline_reason,sacha,laura,ruling,note
1,2-s2.0-85096539937,74,Why do so few people share fake news? It hurts their reputation,2022,New Media & Society,10.1177/1461444820969893,Reputation/sharing motivation; not real-world exposure estimate,MAYBE,MAYBE,EXCLUDE_STANDS,"from the title it's hard to tell, but you're right that it's an exclude. "
2,2-s2.0-85133315240,187,Does Misinformation Thrive With Social Networking Site (SNS) Dependency and Perceived Online Social Impact Among Social Media Users in Nigeria? Testing a Structural Equation Model,2024,Journal of Asian and African Studies,10.1177/00219096221108738,SNS dependency misinfo SEM; perception model,MAYBE,MAYBE,EXCLUDE_STANDS,
3,2-s2.0-85102643596,21,"Genomics, social media and the novel coronavirus pandemic, COVID-19",2020,Journal of Global Health Reports,10.29392/001c.12836,"Genomics social media COVID, commentary",EXCLUDE,MAYBE,EXCLUDE_STANDS,
4,2-s2.0-85196156834,23,The Emerging Landscape of Social Media Influencers in Public Health Collaborations: A Scoping Review,2025,Health Promotion Practice,10.1177/15248399241258442,Influencer public health scoping review; off-topic,EXCLUDE,MAYBE,EXCLUDE_STANDS,"it's a lit review, exclude"
5,2-s2.0-85206687850,25,Social Risks in the Era of Generative AI,2024,Proceedings of the Association for Information Science and Technology,10.1002/pra2.1103,Social risks generative AI; non-empirical,EXCLUDE,MAYBE,EXCLUDE_STANDS,
6,2-s2.0-85103132641,38,Propaganda and Disinformation Go Online,2021,Political Campaigning and Communication,10.1007/978-3-030-58624-9_2,Commentary propaganda online,EXCLUDE,MAYBE,EXCLUDE_STANDS,
7,2-s2.0-85213197999,41,"Emerging media, emotions, and misperceptions in health crisis",2025,Communication and Misinformation,10.1002/9781394184972.ch3,Emotions misperceptions essay,EXCLUDE,MAYBE,EXCLUDE_STANDS,"no data, exclude "
8,2-s2.0-105008217481,46,"Detecting Fake News Using BERT Word Embedding, Attention Mechanism, Partition and Overlapping Text Techniques",2025,TEM Journal,10.18421/TEM142-16,Detection using BERT/attention,MAYBE,EXCLUDE,EXCLUDE_STANDS,
9,2-s2.0-85136312201,79,Misinformed by Visualization: What Do We Learn From Misinformative Visualizations?,2022,Computer Graphics Forum,10.1111/cgf.14559,Misinformative visualizations learning; perception/effect study,EXCLUDE,MAYBE,EXCLUDE_STANDS,"it's a misinformation sample, no non-misinfo, exclude"
10,2-s2.0-85131431863,84,"Rumoring, disinformation, and contentious politics in the digital age: The case of china and beyond",2021,Politics of Disinformation,10.1002/9781119743347.ch14,Contentious politics commentary,EXCLUDE,MAYBE,EXCLUDE_STANDS,
11,2-s2.0-85201146267,89,Supervised Machine Learning Approaches to Identify the False and True News from Social Media Data,2024,2024 International Conference on Social and Sustainable Innovations in Technology and Engineering (SASI-ITE),10.1109/SASI-ITE58663.2024.00011,ML detection of false/true news,MAYBE,EXCLUDE,EXCLUDE_STANDS,
12,2-s2.0-105021836080,122,TamilFacts: A Comprehensive Multimodal Dataset of Fact-Checked Social Media Content in Tamil Language,2026,Communications in Computer and Information Science,10.1007/978-3-032-05855-3_13,Dataset resource paper; excluded type,EXCLUDE,MAYBE,EXCLUDE_STANDS,
13,2-s2.0-85216682136,129,“Sharing Is Caring Even When It’s Wrong”: The Factors Influencing Health Misinformation Sharing and Relational Correction Among Chinese Older Adults from a Cultural Perspective,2025,Health Communication,10.1080/10410236.2025.2457188,Factors influencing sharing/correction; predictors,MAYBE,EXCLUDE,EXCLUDE_STANDS,
14,2-s2.0-85145746219,132,The dark side of digitalization and social media platform governance: a citizen engagement study,2023,Internet Research,10.1108/INTR-03-2022-0142,Platform governance engagement study,EXCLUDE,MAYBE,EXCLUDE_STANDS,
15,2-s2.0-85138873886,145,Losing the battle over best-science guidance early in a crisis: COVID-19 and beyond,2022,Science Advances,10.1126/sciadv.abo8017,Commentary science guidance crisis,EXCLUDE,MAYBE,EXCLUDE_STANDS,
16,2-s2.0-85186144224,176,Predicting the Veracity of News Articles Using Multimodal Embeddings and NLP-Based Features,2023,2023 1st DMIHER International Conference on Artificial Intelligence in Education and Industry 4.0 (IDICAIEI),10.1109/IDICAIEI58380.2023.10406898,Veracity prediction method,MAYBE,EXCLUDE,EXCLUDE_STANDS,
17,2-s2.0-85122190052,177,Criminal disinformation in relation to the freedom of expression in Indonesia: A critical study,2021,Comparative Law Review,10.12775/CLR.2021.005,Legal/criminal disinformation study,EXCLUDE,MAYBE,EXCLUDE_STANDS,
18,2-s2.0-85129733379,186,Detecting False Rumors from Retweet Dynamics on Social Media,2022,Proceedings of the ACM Web Conference 2022,10.1145/3485447.3512000,Detecting false rumors retweet; detection method,MAYBE,EXCLUDE,EXCLUDE_STANDS,
