n,id,order,title,journal,pipeline_group,sacha,laura,ruling,note
1,2-s2.0-86000736431,35,Accomplice or Corrective? Google and YouTube’s Role in Spreading Conspiracy Theories about Chancellor Candidate Annalena Baerbock during the 2021 German Federal Election,Medien & Kommunikationswissenschaft,INCLUDED,EXCLUDE,EXCLUDE,INCLUDE,"I guess we did not read that sentence, but ;“the standardized content analysis of search results (n = 8.601) shows that on Google about a quarter support the conspiracy theory”; is clearly include"
2,2-s2.0-85077296908,40,Online Direct-to-Consumer Advertising of Stem Cell Therapy for Musculoskeletal Injury and Disease: Misinformation and Violation of Ethical and Legal Advertising Parameters,Journal of Bone and Joint Surgery,DROPPED,INCLUDE,INCLUDE,EXCLUDE,
3,2-s2.0-85215939792,49,Descriptive analysis of TikTok content on vaccination in Arabic,AIMS Public Health,INCLUDED,EXCLUDE,EXCLUDE,INCLUDE,
4,2-s2.0-85166442191,3,GMO discussion on Twitter,GM Crops & Food,DROPPED,INCLUDE,EXCLUDE,EXCLUDE,
5,W4281770633,6,Repeat Spreaders and Election Delegitimization: A Comprehensive Dataset of Misinformation Tweets from the 2020 U.S. Election,Journal of Quantitative Description: Digital Media,INCLUDED,INCLUDE,EXCLUDE,INCLUDE,
6,2-s2.0-85097120668,11,Dimensions of misinformation about the HPV vaccine on instagram: Content and network analysis of social media characteristics,Journal of Medical Internet Research,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,
7,2-s2.0-85046071518,14,Anatomy of an online misinformation network,PLOS ONE,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,
8,2-s2.0-105000242013,18,"Lost in translation: using global fact-checks to measure multilingual misinformation prevalence, spread, and evolution",EPJ Data Science,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,
9,2-s2.0-105039147215,20,Manipulation of information in times of crisis: evidence from Covid excess mortality,Journal of Economic Growth,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,
10,2-s2.0-85164306347,21,Advertising Alternative Cancer Treatments and Approaches on Meta Social Media Platforms: Content Analysis,JMIR Infodemiology,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,
11,2-s2.0-85151113840,23,Realfood and Cancer: Analysis of the Reliability and Quality of YouTube Content,International Journal of Environmental Research and Public Health,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,
12,2-s2.0-86000286752,25,The most contemporary analysis on YouTube videos on premature ejaculation,Journal of Men's Health,DROPPED,INCLUDE,EXCLUDE,EXCLUDE,
13,2-s2.0-85167574647,27,Quality and reliability of YouTube videos in Arabic as a source of patient information on prostate cancer,ecancermedicalscience,INCLUDED,INCLUDE,EXCLUDE,INCLUDE,Laura's rationale is wrong 'I think misleading OR irrelevant is not enough to count as misinformation.' is misinformation by our coding definition
14,2-s2.0-85210161252,28,Disinformation on dietary supplements by German influencers on Instagram,Naunyn-Schmiedeberg's Archives of Pharmacology,DROPPED,EXCLUDE,INCLUDE,,can you re-read this paper carefully to double check? 
15,2-s2.0-45549091998,30,Silver nasal sprays: Misleading Internet marketing,"Ear, Nose & Throat Journal",DROPPED,EXCLUDE,INCLUDE,,re-read this one carefully pls
16,2-s2.0-85187889353,36,Unveiling misinformation on YouTube: examining the content of COVID-19 vaccination misinformation videos in Switzerland,Frontiers in Communication,DROPPED,INCLUDE,EXCLUDE,,no denominator? looks like a legit CONTENT study no? re-read pls
17,2-s2.0-105038578898,39,Exposure to health misinformation on social media across key health domains: a systematic review and meta-analysis of survey-based studies,BMC Public Health,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,"it's a systematic review and meta-analyses, we exclude these "
18,2-s2.0-85091698994,43,The Diffusion of Mainstream and Disinformation News on Twitter: The Case of Italy and France,Companion Proceedings of the Web Conference 2020,INCLUDED,INCLUDE,EXCLUDE,INCLUDE,"looks very legit with clean esimates'“the amount of misleading and potentially harmful information is small yet not negligible compared to mainstream news, with approximately 15% of the total share of news in Italy and 10% in France.'"
19,2-s2.0-85184568825,47,Perceived experts are prevalent and influential within an antivaccine community on Twitter,PNAS Nexus,DROPPED,EXCLUDE,INCLUDE,EXCLUDE,rationale:  Prevalence of perceived experts/misinformation in antivaccine community 
20,2-s2.0-85085201199,48,YouTube as a source of information on COVID-19: A pandemic of misinformation?,BMJ Global Health,INCLUDED,INCLUDE,EXCLUDE,INCLUDE,"non-factual info is misinformation, right? '“Of the 69 included videos, 19 (27.5%) contained non-factual information, while 50 (72.5%) contained only factual information”' double check please"
