record_id,title,exclusion_reason,terminal_state,reason_detail,reason_source
2-s2.0-105000242013,"Lost in translation: using global fact-checks to measure multilingual misinformation prevalence, spread, and evolution","No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP both rows. (1) 10.26% 'fact-checked multiple times' and (2) 32.26% 'repeated claims cross languages' are dynamics/composition WITHIN a fact-check database,stepb_drops_queue.csv
2-s2.0-105001286284,Quantifying Public Engagement With Science and Malinformation on COVID-19 Vaccines: Cross-Sectional Study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Both rows dropped. Row 1 (top 1% of papers = 34.2% of altmetrics, Gini 0.835): this is concentration of ENGAGEMENT/altmetrics among PAPERS (content/source units",stepb_drops_queue.csv
2-s2.0-105001591540,A global comparison of social media bot and human characteristics,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP both rows (20% avg bot volume, 43% during US Elections). Bot share != misinfo prevalence (L12: bot metrics are not exposure/prevalence). The paper measures",stepb_drops_queue.csv
2-s2.0-105006769846,Combating Repeated Lies: The Impact of Fact‐Checking on Persistent Falsehoods by Politicians,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP_STUDY. The 24.8% (299/1204) is the share of fact-checked false political claims that are REPETITIONS of an earlier claim -- a recurrence rate, NOT a misinf",stepb_drops_queue.csv
2-s2.0-105007986232,Negative vaccine sentiments on South African social media platforms before the COVID-19 pandemic: a mixed methods study,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP_STUDY (L29 anti-vaccine STANCE != misinformation). The 16.2% is the share of vaccine posts expressing NEGATIVE SENTIMENT, explicitly defined as 'any concer",stepb_drops_queue.csv
2-s2.0-105009167529,Republicans are flagged more often than Democrats for sharing misinformation on X’s Community Notes,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,DROP_STUDY (both rows). The figures (60.05% of proposed notes / 69.79% of helpful notes fall on Republican posts) are a PARTISAN COMPOSITION of the already-flag,stepb_drops_queue.csv
2-s2.0-105010913703,Digital disinformation and financial decision-making: understanding the spread of economic conspiracy theories in Indonesia,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP. (1) Non-neutral recruitment frame: 'We recruited 2,847 Indonesian participants who had actively engaged with gold investment content on social media' -> sample selected ON the behavior of intere",drop_audit.json
2-s2.0-105011696813,Content analysis of political disinformation spread by Jair Bolsonaro on Twitter/X,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,creator single-actor (Bolsonaro) — producer-side not audience exposure [RA #6],v1.2_drops_ledger.csv
2-s2.0-105012175920,What do people search online about sciatica? What answers do they get from Dr. Google? A mixed analysis of Italian web-based data,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"Guideline-contradiction coverage, not content misinfo prevalence [rule L3]",proposals.csv
2-s2.0-105012926622,The Spread of Anti-vaccination Memes on Facebook,"No qualifying estimate at full text: no denominator, curated sample, wrong construct, or secondary source",DROPPED,"DROP all rows. (1) The 200 memes were pre-selected as anti-vaccination content (curated/circular denominator, L24/L26) and the study reports no falsity-prevalen",stepb_drops_queue.csv
