order,item_id,verdict,confidence,reason
4,2-s2.0-105009619554,LLM_RIGHT_KEEP,med,"[from abstract+extract] 55% of ADHD characteristics not matching DSM-5-TR over topical TikTok sample; content accuracy, provisional"
5,2-s2.0-105007777349,LLM_RIGHT_KEEP,med,"60.3% of keyword-sampled Jordan oral-health web pages false; content, not source-level (Laura misread)."
6,2-s2.0-105011696813,LAURA_RIGHT_DROP,high,"41% of Bolsonaro's OWN tweets; single-creator output, no audience denominator."
7,2-s2.0-105014962937,LAURA_RIGHT_DROP,med,"neutral sample but 19.4% is mDISCERN quality/stigma, not true/false."
11,2-s2.0-105031695645,LAURA_RIGHT_DROP,high,"89.6% of surveyed pharmacists 'encountered' misinfo; perception %, not content prevalence."
12,2-s2.0-105039619015,LLM_RIGHT_KEEP,high,39.1% of nat-rep panel exposed to misinfo sites; Laura only saw the pink-slime sub-stat.
13,2-s2.0-105041276064,LLM_RIGHT_KEEP,high,9.6% false-claim share over keyword/popularity TikTok sample; DISCERN is separate.
14,2-s2.0-84869090226,LAURA_RIGHT_DROP,high,"86% of CPC websites false; outlet-level rating, no audience exposure."
16,2-s2.0-85037352356,LLM_RIGHT_KEEP,high,0.34% of ALL browser users visited fake-news domains; population exposure.
18,2-s2.0-85056602344,LAURA_RIGHT_DROP,high,"curated 120 low-cred sources; producer concentration, no neutral denom."
19,2-s2.0-85060013655,LAURA_RIGHT_DROP,high,stories from 50 pre-labeled fake-news sites; circular.
24,2-s2.0-85066894147,LLM_RIGHT_KEEP,high,20/30/40% of randomly-sampled news shares are fake; Laura cited a different stat.
25,2-s2.0-85078014559,LAURA_RIGHT_DROP,high,only tweets to 63 disinfo sites; composition-within-misinfo.
28,2-s2.0-85085201199,LLM_RIGHT_KEEP,high,27.5% non-factual over popularity YouTube sample; quality scores separate.
29,2-s2.0-85085573221,LLM_RIGHT_KEEP,med,"68.2% of neutrally-sampled HCP population received misinfo; whole-sample, not subgroup."
39,2-s2.0-85108996494,LLM_RIGHT_KEEP,med,5.7% false over keyword+engagement sample; genuine true/false classification.
40,2-s2.0-85111545521,LLM_RIGHT_KEEP,high,39.2% visited >=1 untrustworthy site; population exposure (effects framing misled Laura).
45,2-s2.0-85127039075,LLM_RIGHT_KEEP,high,10.7% non-factual over keyword+popularity YouTube sample.
47,2-s2.0-85136023139,LLM_RIGHT_KEEP,med,7.6% of voter-file Twitter panel shared fraud content; population sharing rate.
48,2-s2.0-85142396682,LAURA_RIGHT_DROP,high,"links shared by members of Congress; creator-side, not audience."
51,2-s2.0-85151055175,LLM_RIGHT_KEEP,med,misinfo share over all candidate content / random survey; Laura's within-misinfo fits only Table 2. Caveat: numerator stance-agnostic.
54,2-s2.0-85175105353,LLM_RIGHT_KEEP,high,3.2% of whole keyword-collected userbase shared misinfo; audience sharing.
55,2-s2.0-85188806397,LLM_RIGHT_KEEP,high,"26% of all shared links point to untrustworthy sites; share-of-all, not within-misinfo."
56,2-s2.0-85209206311,LLM_RIGHT_KEEP,high,"PROTOCOL RESOLVED (Sacha 2026-07-14 + codebook a2): source-level exposure INCLUDED, tag classification_level=source_level"
65,2-s2.0-105019603181,LLM_RIGHT_KEEP,high,"[from extract] REACH: % of nationally-representative 1,240-panel who visited >=1 misinfo article; clean population reach"
81,OA-W4401812299,LAURA_RIGHT_DROP,med,"[from extract] 25% of accounts spreading pro-Russian talking points = stance/account-level; drop stands, provisional"
94,W4281770633,LAURA_RIGHT_DROP,high,concentration within curated 456-misinfo-story set; not neutral.
95,W4293124965,LLM_RIGHT_KEEP,high,"PROTOCOL RESOLVED (Sacha 2026-07-14 + codebook a2): NewsGuard source-level exposure INCLUDED, tag source_level"
96,W4306964957,LAURA_RIGHT_DROP,high,"<1% of politicians' OWN posts; creator-side rate, not audience."
