order,id,title,year,sacha,laura,both,ruling,note,ruled_by
6,2-s2.0-85097085646,Analysing credibility of uk social media influencers’ weight-management blogs: A pilot study,2020,EXCLUDE,INCLUDE,False,EXCLUDE_STANDS,"Credibility checklist scored on 9 influencer blogs: quality rubric (R7), no falsity share.",claude_source_check_approved_by_sacha_2026-09-02
7,2-s2.0-85159040522,Lessons Learned From Monitoring Spanish-Language Vaccine Misinformation During the COVID-19 Pandemic,2023,MAYBE,EXCLUDE,False,EXCLUDE_STANDS,Monitoring-programme lessons; 109 flagged items with no denominator.,claude_source_check_approved_by_sacha_2026-09-02
13,2-s2.0-105041646279,"Social Media Content, Engagement, and Reliability for Infantile Hemangiomas: A Comparison Across YouTube, Instagram, and TikTok",2026,INCLUDE,EXCLUDE,False,EXCLUDE_STANDS,"mDISCERN reliability scores across 150 videos: quality, not misinformation (R7).",claude_source_check_approved_by_sacha_2026-09-02
15,2-s2.0-85126200994,Evaluation of the quality of online patient information at the intersection of complementary and alternative medicine and hypertension,2022,INCLUDE,EXCLUDE,False,EXCLUDE_STANDS,"Website quality scoring (CAM/hypertension): quality, not falsity.",claude_source_check_approved_by_sacha_2026-09-02
24,2-s2.0-85087217032,The pervasiveness and policy consequences of medical folk wisdom in the U.S.,2020,EXCLUDE,MAYBE,False,EXCLUDE_STANDS,"Prevalence of inaccurate beliefs (medical folk wisdom): belief, not exposure or content.",claude_source_check_approved_by_sacha_2026-09-02
33,2-s2.0-85136545530,"The Amplification of Exaggerated and False News on Social Media: The Roles of Platform Use, Motivations, Affect, and Ideology",2025,INCLUDE,INCLUDE,True,MISS,"Chadwick, Vaccari & Hall 2022 (full text, Edinburgh repository): 9.9% of all UK social media users (n = 2,005, nationally representative) amplified exaggerated or false news in the past month; 33.8% of those who shared news. A self-reported sharing estimate with a population denominator (RECALL, sharing subtype). The pre-freeze false-negative audit had ruled it 'factors associated with sharing intentions'.",claude_source_check_approved_by_sacha_2026-09-02
43,2-s2.0-105026630069,"Perception, Quality, and Accuracy of Sunscreen Content on TikTok: SkinMedia Cross-Sectional Content Analysis",2025,INCLUDE,INCLUDE,True,MISS,"Roland-McGowan et al. 2025 (JMIR Dermatology, abstract): of the 100 most-liked TikTok videos for 'sunscreen', 6% were inaccurate (35% accurate, 57% opinion-based). A falsity verdict over a rank-truncated content sample (CONTENT, curated denominator), the same design as included studies such as the most-viewed COVID-19 YouTube videos. The pipeline's reason ('primarily quality/promotional') misdescribes an accuracy code.",claude_source_check_approved_by_sacha_2026-09-02
44,2-s2.0-85092376138,A Cross-Sectional Study Analyzing the Quality of YouTube Videos as a Source of Patient Education for Treatments on Psoriasis,2021,INCLUDE,EXCLUDE,False,EXCLUDE_STANDS,DISCERN quality scoring of 30 YouTube videos (R7).,claude_source_check_approved_by_sacha_2026-09-02
48,2-s2.0-85110362081,Risk messages relating to fertility and pregnancy: A media content analysis,2021,MAYBE,EXCLUDE,False,EXCLUDE_STANDS,"Fidelity of four selected media risk stories to the underlying science; no prevalence share. The pre-freeze audit had recovered it as a false negative, but it yielded no estimate and is not in the corpus.",claude_source_check_approved_by_sacha_2026-09-02
53,2-s2.0-105009551917,“I Don’t Even Watch News (Voluntarily) on WeChat”–Socially-Compelled Exposure to Misinformation Among U.S. Diaspora Communities,2026,EXCLUDE,MAYBE,False,EXCLUDE_STANDS,61 qualitative interviews; no quantitative estimate.,claude_source_check_approved_by_sacha_2026-09-02
