id,title,country,platform,measure_type,value_pct,value_raw,construct,diet_type,source_quote,denominator,definition,n,source,dedup_status
OA-W3091627927,"Fake news, Covid-19 e Infodemia: un esempio di ricerca sociale in real-time su Twitter",Italy,Twitter,CONTENT,1.44,,SHARING,,"Only 1,44% of the tweets collected are fake news, plus they circulate only in very specific periods and within closed communities","7,237,581 tweets collected during Covid-19 emergency",% of collected Italian tweets classified as fake news,7237581,abstract,NEEDS_CHECK
OA-W2912178678,Finding facts about fake news,United States,Twitter,EXPOSURE,6,,EXPOSURE,news diet,Fake news accounted for nearly 6% of all news consumption,all news consumption among Twitter users matched to registered voters,Fake news share of total news consumption,,abstract,NEEDS_CHECK
OA-W2912178678,Finding facts about fake news,United States,Twitter,CONCENTRATION,80,,EXPOSURE,,only 1% of users were exposed to 80% of fake news,100% of fake news exposures across users,Top 1% of users account for 80% of fake news exposure,,abstract,NEEDS_CHECK
OA-W2912178678,Finding facts about fake news,United States,Twitter,CONCENTRATION,80,,SHARING,,0.1% of users were responsible for sharing 80% of fake news,100% of fake news shares across users,Top 0.1% of users account for 80% of fake news sharing,,abstract,NEEDS_CHECK
OA-W2917477888,The Economics of Fake News: Consumer Behavior During the 2016 Election,United States,Web browsing,FULL TEXT NEEDED,,,EXPOSURE,news diet,We characterize the prevalence of fake news during the 2016 U.S. presidential election using a dataset of user-level browsing data,"user-level browsing data, 2016 US election",Prevalence of fake news in online browsing diet,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W3003733254,"Fake News, Fake Problem? An Analysis of the Fake News Audience in the Lead Up to the 2016 Presidential Election",United States,Web,FULL TEXT NEEDED,,,EXPOSURE,news diet,"we know little about the extent to which online audiences are exposed to fake news, and how these outlets factor into the average digital news diet","online news audience, 2016 US election lead-up",Extent of fake news exposure in average digital news diet,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W3045537346,"Social Media, Democracy and Fake News in Pakistan: An Analysis",Pakistan,Twitter/Facebook,FULL TEXT NEEDED,,,SHARING,,"the content analysis showed that both Twitter and Facebook carried a sizeable number of fake news relating to the politics and international affairs, military, economy and religion",fake news content on Pakistani Twitter and Facebook,Share of social media content that is fake news (Pakistan politics/society),,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4417124855,"Attitudes to Democracy, Information Sources, and Self-Reported Misinformation Exposure in a Federal Election: An Australian Experience Sampling Study",Australia,Cross-platform,RECALL,,2.37,RECALL,,Participants reported frequent misinformation exposure (2.37 total,"123 participants, experience sampling across 5 days around 2025 election",Mean self-reported misinformation exposure count per period,123,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4283220108,US hospital webpages on atrial fibrillation ablation: A potential source for misinformation,United States,Hospital websites,FULL TEXT NEEDED,,,content_accuracy,,"Success rates over 86%, the highest success rate in the medical literature, were deemed exaggerated. Among 4805 hospitals, 487 had webpages describing AF ablation and 33 discussed success rates",33 hospital webpages discussing AF ablation success rates,Share of hospital webpages reporting exaggerated (>86%) AF ablation success rates,33,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7106783913,Tu crois que c'est vrai ? Diversite des regimes d'enonciation face aux fake news et mecanismes d'autoregulation conversationnelle,France,Twitter; Facebook,FULL TEXT NEEDED,,,exposure_sharing,fact-checker labeled,empirical studies find that fake news represent only a small share of the information consulted and shared on social media despite the absence of editorial control,information consulted/shared on social media,Share of social media information diet that is fake news (fact-checker labeled),,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4410566265,Exploring nutrition misinformation on social media platforms,,Instagram; TikTok,FULL TEXT NEEDED,,,content_accuracy,,This study aims to measure the accuracy and frequency of nutrition misinformation... analysing 500 posts (250 from each platform)... Posts were evaluated using a modified... checklist... to measure accuracy,500 nutrition-related posts (250 Instagram + 250 TikTok),Frequency/accuracy of nutrition misinformation among sampled posts,500,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W2524060751,Blind spots: Examining political advertising misinformation and how U.S. news media hold political actors accountable,USA,TV,reported,30,,content_false,political_ads,"Of all the English-language paid political ads that aired on television during the 2008 general election, just under 30% contained at least one inaccuracy",English-language paid political TV ads 2008 general election,% of political ads containing at least one inaccuracy,,abstract,NEEDS_CHECK
OA-W4413457235,Algorithmic Amplification of Surgical Misinformation: How Social Media Prioritizes Engagement Over Accuracy and Distorts Patient Choices,,Instagram;YouTube,reported,33.9,296,content_false,surgical_health,"we classified 33.9% of posts as containing outright false/misleading claims, with Instagram hosting significantly more misinformation than YouTube (41.2% vs. 26.7%, p < 0.001)",874 public posts (432 Instagram 442 YouTube) on 4 elective surgeries,% of posts containing outright false/misleading claims,874,abstract,NEEDS_CHECK
OA-W4413457235,Algorithmic Amplification of Surgical Misinformation: How Social Media Prioritizes Engagement Over Accuracy and Distorts Patient Choices,,Instagram,reported,41.2,,content_false,surgical_health,"Instagram hosting significantly more misinformation than YouTube (41.2% vs. 26.7%, p < 0.001)",432 Instagram posts,% of Instagram posts false/misleading,432,abstract,NEEDS_CHECK
OA-W4413457235,Algorithmic Amplification of Surgical Misinformation: How Social Media Prioritizes Engagement Over Accuracy and Distorts Patient Choices,,YouTube,reported,26.7,,content_false,surgical_health,"Instagram hosting significantly more misinformation than YouTube (41.2% vs. 26.7%, p < 0.001)",442 YouTube posts,% of YouTube posts false/misleading,442,abstract,NEEDS_CHECK
OA-W4411120829,Algorithmic Behaviors Across Regions: A Geolocation Audit of YouTube Search for COVID-19 Misinformation Between the United States and South Africa,USA;South Africa,YouTube,reported,31.55,,content_false,covid_health_search,We found that 31.55% of the top-10 search re[sults],915K YouTube search results (top-10 across 48 queries x 4 filters x 6 geolocations x 10 days),% of top-10 YouTube search results containing COVID-19 misinformation,,abstract,NEEDS_CHECK
OA-W4291473423,Content Analysis of COVID-19 Vaccine and Infertility Tweets: The Etiology of a Misinformation Pandemic,,Twitter,FULL TEXT NEEDED,,,content_false,covid_vaccine_infertility,To understand misinformation surrounding infertility and the COVID19 vaccine on Twitter by analyzing the prevalence and content of this misinformation,COVID-19 vaccine + infertility tweets,prevalence of vaccine-infertility misinformation among tweets,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W4281924559,Prevalence and effect of misinformation on Twitter during the COVID-19 pandemic: A mixed-methods social media analysis,,Twitter,FULL TEXT NEEDED,,,content_false,covid_health,"we investigated the prevalence of misinformation on Twitter related to COVID-19 transmission, alternative treatments, and vaccines",popular COVID-19 articles shared on Twitter,prevalence of COVID-19 misinformation among shared articles,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7139102111,"Quality, reliability and misinformation in mental health and neurodivergence content on social media: a systematic review",,multiple,FULL TEXT NEEDED,,,content_false,mental_health,"Across the 27 included studies, 5057 social media posts were analysed. Misinformati[on prevalence]",5057 social media posts across 27 studies,prevalence of misinformation in mental health/neurodivergence content,5057,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7161796591,TikTok as a Source of Oral Hygiene Education: Alignment and Misinformation Relative to Official Dental Guidelines,,TikTok,FULL TEXT NEEDED,,,content_false,oral_health,to determine the prevalence of misinformation ... only 1% of videos cited official re[ferences],246 Spanish-language TikTok oral hygiene videos,prevalence of misinformation among oral hygiene TikTok videos,246,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7130733747,Abstract PS1-04-01: Misguided Relief: Prevalence and Patterns of Symptom Management Misinformation for Breast Cancer on Instagram,,Instagram,FULL TEXT NEEDED,,,content_false,breast_cancer,"This study aimed to evaluate the prevalence, characteristics, and engagement patterns of misinformation related to s[ymptom management]",public Instagram posts on breast cancer symptom management,prevalence of breast cancer symptom-management misinformation,,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W2914761925,High Prevalence of Misinformation Found in YouTube Prostate Cancer Videos,,YouTube,reported,75,115,content_false,prostate_cancer,over 75 percent of those videos included misinformative content ... 115 of those contained biased information,top 150 prostate cancer videos,% of prostate cancer videos with misinformative/biased content,150,abstract,NEEDS_CHECK
OA-W7125772788,Leveraging Artificial Intelligence to Quantify the Digital Infodemic: A Longitudinal Analysis of Pathogen-Specific Misinformation in Nigeria,Nigeria,multiple,FULL TEXT NEEDED,,,content_false,infectious_disease,"This study utilises AI to quantify the longitudinal prevalence and social engagement of misinformation regarding HIV, Hepatitis B (HBV), Polio, and COVID-19",7234 data points from Nigerian digital news and social media (2021-2026),prevalence of infectious-disease misinformation,7234,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W7154838691,"TRUTH, FEAR, AND VIRALITY: A CROSS-PLATFORM CONTENT ANALYSIS OF HEALTH MISINFORMATION NARRATIVES ON SOCIAL MEDIA",,Twitter;Facebook;TikTok;YouTube,FULL TEXT NEEDED,,,content_false,health,"a systematic, cross-platform content analysis of 1,000 posts sampled from Twitter/X (n = 250), Facebook (n = 250), TikTok (n = 250), and YouTube (n = 250)",1000 posts across 4 platforms,prevalence of health misinformation in sampled posts,1000,abstract,NEEDS_CHECK|NEEDS_FULLTEXT
OA-W3113799821,"""Does Vinegar Kill Coronavirus?"" - Using Search Log Analysis to Estimate the Extent of COVID-19-Related Misinformation Searching Behaviour in the United States",USA,search,reported,1,,exposure,covid_search,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation],Bing COVID-19 search queries (US),% of search queries classified as misinformation-seeking,,abstract,NEEDS_CHECK
