id,disposition,orig_disposition,reason
2-s2.0-105002119640,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; WhatsApp group misinfo threat - indeterminate whether audience-level prevalence reported"
2-s2.0-105003430620,EXCLUDED,EXCLUDE,"Fact-check hoax database (Maldita); characterizes 31,894 hoax submission records / 81 distinct hoaxes by attribution and topic. Concentration finding (80% of records from 20% of hoaxes) is about which debunked hoaxes dominate submissions, not audience consumption; no audience-exposure or content-prevalence denominator."
2-s2.0-105005154685,EXCLUDED,EXCLUDE,"Measures parental CONCERN ratings about pre-selected misinformation tweets (belief/concern, out of scope). The '~25% of HPV tweets contain misinformation' figure is cited prior work [22/26], not measured here; stimuli were a curated set of 126 known-misinfo tweets (no denominator)."
2-s2.0-105005800476,EXCLUDED,EXCLUDE,Fact-check/debunk corpus (803 far-right debunks) coded for platform/format/source/theme; no prevalence denominator of examined content
2-s2.0-105006846547,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Climate discourse engagement study. Reports share of posts from unreliable vs reliable sources (~7% ratio) and 1.2x relative engagement, but these are engagement/volume ratios, not a prevalence/exposure share with a clean denominator of total content."
2-s2.0-105007760590,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Supplementary text of co-sharing study; regression/narrative-overlap analysis of mainstream vs control articles. No audience-level exposure or misinfo prevalence estimate with a denominator.
2-s2.0-105008435345,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; observational study of TikTok psychiatric-disinfo videos - likely quality/accuracy coding, indeterminate"
2-s2.0-105008929274,EXCLUDED,EXCLUDE,"Content analysis of 140 fact-checked COVID-vaccine articles (a fact-check/debunk corpus, all already-false); reports theme/format/source distributions but no misinfo-prevalence estimate against a real denominator of content examined."
2-s2.0-105010709097,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Style/information-completeness analysis of far-right vs moderate news sharing; argues misinfo is not about false facts. Reports sharing overlap (91% of far-right-produced articles shared by far-right users) but no audience-level misinfo prevalence/exposure estimate with a denominator.
2-s2.0-105016715928,EXCLUDED,EXCLUDE,"Quality/reliability ratings (QUEST score, median 61%) plus content/theme typology of MS-nutrition social media. 'MS diet endorsed in 39.7% of videos' is diet-endorsement, not misinformation prevalence; no % of items that are false with a denominator."
2-s2.0-105017599346,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-105017882804,EXCLUDED,EXCLUDE,DISCERN/JAMA quality-reliability ratings of 100 hand-hygiene videos; content categories are not veracity classes and no misinfo prevalence with denominator (the 8.2% is 'misinformation correction' videos)
2-s2.0-105020480576,INCLUDED_NO_DATA,INCLUDED_NO_DATA,Cross-platform engagement study (7 platforms). Findings are about engagement associations (e.g. ~7% more engagement for low-quality); states high-quality news 'substantially more prevalent' but gives no prevalence % with denominator in text.
2-s2.0-105022767858,EXCLUDED_TITLE_SCREEN,CANT_TELL,"title-only, no retrievable full text; title indicates out of scope: Title-only; circulation of political news on Twitter (Dutch elections) - not clearly misinfo-specific, indeterminate"
2-s2.0-105024418516,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Content analysis of 116 gout TikToks coded by category (management 79%, risk factors 45%, etc.). Content 'may be misleading' but no % of videos coded as containing misinformation with a denominator."
2-s2.0-105029346542,INCLUDED_RECOVERED,RECOVER,recovered into v1.2 dataset
2-s2.0-105029413645,INCLUDED_RECOVERED,CANT_TELL,fetched full text -> recovered into v1.2 (Lyons 2025)
2-s2.0-105035571105,EXCLUDED,EXCLUDE,"Quality/reliability ratings (GQS, mDISCERN, JAMA) of 200 Hepatitis B short videos; no % of items false/misinfo with a denominator. Out of scope (reliability rating scores + engagement metrics)."
2-s2.0-105038262595,EXCLUDED,EXCLUDE,"Quality/reliability ratings of depression TikTok videos (GQS, JAMA, mDISCERN) plus content-completeness coding. Reports low quality but no prevalence of misinformation with a denominator (no '% of N videos contained misinformation')."
2-s2.0-105040664134,INCLUDED_NO_DATA,INCLUDED_NO_DATA,"Qualitative inductive content analysis of 52 Instagram posts; no denominator-based prevalence of misinformation for its own sample (only 24.8% of posts were topic-relevant, not a misinfo %). The '44.7% of posts contained inaccuracies' figure is cited from prior study (Denniss et al.), not this study."
