eid,verdict,construct,reason
2-s2.0-33750607580,CORRECT_EXCLUDE,,No abstract; hospital quality reporting commentary
2-s2.0-85111503795,CORRECT_EXCLUDE,,Analysis of candidate discourse not misinfo prevalence estimate
2-s2.0-105010709097,CORRECT_EXCLUDE,,Qualitative fringe-sharing narrative; no prevalence denominator
2-s2.0-85078501461,CORRECT_EXCLUDE,,Website quality/reliability audit not misinfo prevalence
2-s2.0-105026085824,CORRECT_EXCLUDE,,Student behavior/attitudes survey not exposure prevalence
2-s2.0-85129580688,CORRECT_EXCLUDE,,Experimental misperception induction study not prevalence
2-s2.0-85107291943,CORRECT_EXCLUDE,,No abstract; NLP exaggeration classifier tool
2-s2.0-105025544094,CORRECT_EXCLUDE,,Network propaganda analysis no quantitative prevalence estimate
2-s2.0-85042523562,INCLUDE_FN,content prevalence,% stock photos non-compliant with safe-sleep guidelines
2-s2.0-85099454800,CORRECT_EXCLUDE,,Bot climate discourse analysis no misinfo prevalence denominator
2-s2.0-105000891294,CORRECT_EXCLUDE,,Misperception/belief survey not content prevalence
2-s2.0-84960478458,CORRECT_EXCLUDE,,Knowledge/misconceptions survey not content prevalence
2-s2.0-85108198760,CORRECT_EXCLUDE,,No abstract; commentary/conceptual piece
2-s2.0-85191403735,INCLUDE_FN,content prevalence,% Instagram posts misinformation by author type
2-s2.0-105039938059,CORRECT_EXCLUDE,,Fact-checking strategies analysis not prevalence estimate
2-s2.0-84955265301,CORRECT_EXCLUDE,,Diffusion dynamics on curated misinfo set no denominator
2-s2.0-85084363001,CORRECT_EXCLUDE,,Commentary on media coverage no quantitative prevalence
2-s2.0-85088659991,CORRECT_EXCLUDE,,No abstract; infodemic commentary
2-s2.0-85126092866,CORRECT_EXCLUDE,,AI-text credibility experiment not prevalence estimate
2-s2.0-85101151676,CORRECT_EXCLUDE,,Fact-checked tweet corpus study diffusion no denominator
2-s2.0-85115783023,CORRECT_EXCLUDE,,Platform/tracking tool development not prevalence estimate
2-s2.0-85083280491,CORRECT_EXCLUDE,,No abstract; commentary on Twitter dissemination
2-s2.0-85135532568,CORRECT_EXCLUDE,,Review of vaccine misinfo effects not prevalence estimate
2-s2.0-85046902878,CORRECT_EXCLUDE,,Fake news detection classifier tool not prevalence
2-s2.0-84908440181,CORRECT_EXCLUDE,,Commentary on Ebola Twitter misinfo no quantitative estimate
2-s2.0-85120178364,CORRECT_EXCLUDE,,Dataset/corpus building tool not prevalence estimate
2-s2.0-85104887916,CORRECT_EXCLUDE,,Experiment on believing/sharing willingness not real-world prevalence
2-s2.0-85055990871,CORRECT_EXCLUDE,,Hoax detection ability test not misinfo prevalence
2-s2.0-85136577983,CORRECT_EXCLUDE,,Coordinated sharing behavior analysis no prevalence denominator
