dimension,item_id,stratum,study_id,perplexity,ours,px_confidence,key_value_pct,quote
construct,R010,baseline_random,OA-W3113799821,CONTENT,OTHER,3,1,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation]
construct,R029,baseline_random,2-s2.0-85105511315,CONCENTRATION,OTHER,5,70,verified accounts yield almost 40% of low-credibility retweets on Twitter and almost 70% of reshares on Facebook
construct,R040,baseline_random,2-s2.0-85105511315,CONCENTRATION,OTHER,5,40,verified accounts yield almost 40% of low-credibility retweets on Twitter and almost 70% of reshares on Facebook
construct,R046,baseline_random,W7146985142,OTHER,CONCENTRATION,5,23,"in 2024 the top three most visited trustworthy domains account for 32% of visits to trustworthy news, while the leading untrustworthy sources—nius.de, reitschuster.de, and politikversagen.net—account for 23% of visits to untrustworthy news."
construct,R003,boundary_audience_constructs,2-s2.0-85114317455,CONTENT,EXPOSURE,5,6.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines"
construct,R006,boundary_audience_constructs,2-s2.0-85066894147,CONTENT,SHARING,4,20,"While the average fraction of fake news content is about 20% before the conventions, it lies at ≈ 30% after the nominations and reaches ≈ 40% right before the election."
construct,R007,boundary_audience_constructs,2-s2.0-85059494932,SHARING,REACH,4,12.0,the share going to fake news and extremely biased news is equal to 12% ... users posting fake and extremely biased news are around twice more active in average
construct,R023,boundary_audience_constructs,2-s2.0-105027856675,EXPOSURE,SHARING,4,4.9,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).
construct,R039,boundary_audience_constructs,W4306964957,CONTENT,SHARING,5,0.0104,"Using our text-based approach, about 0.01% (421) of politicians' posts contain false stories ... [Table 2] Text 0.0104"
construct,R050,boundary_audience_constructs,2-s2.0-85188806397,CONCENTRATION,SHARING,3,22.25,for safe states - 22.25%. The concentration of trustworthy links (T) is higher for safe states - 50.66% vs 28.30% for swing states
construct,R054,boundary_audience_constructs,2-s2.0-105027856675,EXPOSURE,SHARING,4,0.4,Italy exhibited the highest average share of misinformation (M = 0.049)... USA (M = 0.022)... Germany (M = 0.011)... UK (M = 0.004).
