item_id,stratum,study_id,key_construct,key_denom_class,key_breadth,key_value_pct,key_quote
R001,boundary_audience_constructs,OA-W2992531903,REACH,population,fabricated,1.0,"On average, most reached just 1% or fewer of the French online population each month in 2017"
R002,boundary_audience_constructs,2-s2.0-85194075145,EXPOSURE,political_news,unreliable_source,5.1,On average 5.1% of news posts users encounter on Facebook are from sources known to post misinformation repeatedly.
R003,boundary_audience_constructs,2-s2.0-85114317455,EXPOSURE,all_media,unreliable_source,6.9,"Junk news saw an increased share of external links, from 6.9% in chronological timelines to 9.9% in algorithmic timelines"
R004,boundary_content_quality,OA-W2524060751,CONTENT,political_news,false,30,"Of all the English-language paid political ads that aired on television during the 2008 general election, just under 30% contained at least one inaccuracy"
R005,boundary_audience_constructs,2-s2.0-85164694763,SHARING,topical,unreliable_source,26,26% of the domains shared by no-vax communities came from lists of known low-credibility domains versus only 2.4% of those cited by the other users (P<.001)
R006,boundary_audience_constructs,2-s2.0-85066894147,SHARING,political_news,unreliable_source,20,"While the average fraction of fake news content is about 20% before the conventions, it lies at ≈ 30% after the nominations and reaches ≈ 40% right before the election."
R007,boundary_audience_constructs,2-s2.0-85059494932,REACH,population,unreliable_source,12.0,the share going to fake news and extremely biased news is equal to 12% ... users posting fake and extremely biased news are around twice more active in average
R008,boundary_content_quality,2-s2.0-85129456715,CONTENT,topical,false,0,"Among 120 articles that were shared 6,189,187 times in total during the analyzed period ... No myths or misinformation were found in the most frequently shared articles."
R009,boundary_audience_constructs,2-s2.0-85121019757,EXPOSURE,single_source,unreliable_source,12,"From 1/2017-12/2018, an average of 12% of clicks per month went to fake news content, 32% went to not-fake news content, and 56% went to other, not-news content."
R010,baseline_random,OA-W3113799821,OTHER,topical,false,1,we use search log analysis to investigate the extent ... we find that only around 1% of queries [are misinformation]
R011,boundary_content_quality,2603.11058,CONTENT,topical,false,1.3,"Baseline estimates vary across platforms, with TikTok exhibiting the highest prevalence at 20.1% [17.9-22.6], followed by Facebook at 11.9% [10.2-13.9] and X/Twitter at 8.7% [7.3-10.4]. Instagram (6.7% [5.4-8.2]) and YouTube (6.8% [5.4-8.4]) show comparatively lower prevalence. LinkedIn has the lowest baseline estimate at 1.3% [0.7-2.2]."
