title,year,human_label,reason
"#FluxFlow: Visual analysis of anomalous information spreading on social media",2014,EXCLUDE,"visualization method; no prevalence/exposure estimate"
"Product-related emphasis of skin disease information online",2002,EXCLUDE,"not about misinformation prevalence"
"What do popular YouTube videos say about vaccines?",2017,MAYBE,"content analysis of vaccine videos may report % misinformation (content-prevalence track)"
"Why do people share fake news? Associations between the dark side of social media use and fake news sharing behavior",2019,MAYBE,"sharing predictors; likely self-reported sharing (would exclude) but verify at abstract"
"Your Post has been Removed: Tech Giants and Freedom of Speech",2019,EXCLUDE,"book on free speech; non-empirical"
"Toll of acute methanol poisoning for preventing COVID-19",2020,EXCLUDE,"clinical letter; not prevalence"
"COVID-19: Pan(info)demic",2020,EXCLUDE,"commentary"
"Imaging through the looking glass",2021,EXCLUDE,"irrelevant topic"
"Demographic differences in the perceived news literacy skills and sharing behavior of information professionals",2021,EXCLUDE,"perceived skills + self-reported sharing; not observed prevalence"
"The lack of confidence to vaccination as information planting",2021,EXCLUDE,"opinion/commentary"
"Chlorine dioxide: the toxicological truth and the risk of fake news",2022,EXCLUDE,"toxicology review; no prevalence estimate"
"#Election2020: the first public Twitter dataset on the 2020 US Presidential election",2022,EXCLUDE,"dataset resource paper; no prevalence estimate"
"Towards a Location-Aware Blockchain-Based Solution to Distinguish Fake News in Social Media",2022,EXCLUDE,"detection method (CS)"
"Politicization and COVID-19 vaccine resistance in the U.S.",2022,EXCLUDE,"attitudes; not misinformation exposure prevalence"
"Redefining academic library services during the COVID-19 pandemic: A view from Zimbabwe",2023,EXCLUDE,"library services; irrelevant"
"Detecting Fake News Spreaders on Twitter Through Follower Networks",2023,EXCLUDE,"detection method (CS)"
"Security and Privacy in Social Networks and Big Data - 9th International Symposium, SocialSec 2023, Proceedings",2023,EXCLUDE,"proceedings volume"
"Distinguishing credible from sham: Supporting young people to navigate online",2024,EXCLUDE,"intervention/education"
"AI-powered marketing: What, where, and how?",2024,EXCLUDE,"marketing; irrelevant"
"A Cure for Prognostic Pessimism among Neonatologists",2024,EXCLUDE,"clinical note; irrelevant"
"Dissemination of Misinformation About COVID-19 on TikTok: A Multimodal Analysis",2024,MAYBE,"content prevalence of misinfo on TikTok; relevant to RQ1 content track"
"On the Uses and Abuses of Celebrity Epistemic Power",2024,EXCLUDE,"philosophy/theory"
"Blinded by Partisanship? The Limitations of Fact-Checkers in Correcting Misinformation During the 2021 Georgia Senate Runoff",2025,EXCLUDE,"correction/intervention study"
"Betel Nut Policy Considerations for the US",2025,EXCLUDE,"policy; irrelevant"
"Medical large language models are vulnerable to data-poisoning attacks",2025,EXCLUDE,"ML security; no human exposure"
"Democratic education and the teaching of controversial issues in polarising times: Students' views and experiences",2025,EXCLUDE,"education; not prevalence"
"Women's longitudinal social media behaviors and experiences during a global pandemic",2025,EXCLUDE,"general social media behavior; not misinfo prevalence"
"The Science of Resilience: Complexity, Risk Modeling, and Systems",2025,EXCLUDE,"book; off-topic"
"Ecological Film Imaginaries and Environmentally (Un)Sustainable Futures",2026,EXCLUDE,"film studies; off-topic"
"How election management bodies disrupt electoral disinformation: Australia and the UK in comparative perspective",2026,EXCLUDE,"governance/response; not prevalence"
"2nd International Conference on Artificial Intelligence on Healthcare, AIiH 2025",2026,EXCLUDE,"conference volume"
"Evaluating the fake news problem at the scale of the information ecosystem",2020,INCLUDE,"audience-level fake news consumption share of media diet"
"Exposure to untrustworthy websites in the 2016 US election",2020,INCLUDE,"exposure prevalence to untrustworthy websites"
"Exposure to untrustworthy websites in the 2020 US election",2023,INCLUDE,"exposure prevalence to untrustworthy websites"
"Supersharers of fake news on Twitter",2024,INCLUDE,"concentration of fake news sharing (supersharers)"
"Fake news on Twitter during the 2016 U.S. presidential election",2019,INCLUDE,"exposure + concentration of fake news on Twitter"
"Less than you think: Prevalence and predictors of fake news dissemination on Facebook",2019,INCLUDE,"prevalence of fake news sharing on Facebook"
"Partisan Polarization Is the Primary Psychological Motivation behind Political Fake News Sharing on Twitter",2021,INCLUDE,"observed fake news sharing + concentration"
"Social media sharing of low-quality news sources by political elites",2022,INCLUDE,"actor-level prevalence (politicians) of low-quality sources"
"The small, disloyal fake news audience: The role of audience availability in fake news consumption",2018,INCLUDE,"fake news audience size/consumption"
