id,criterion,reason,evidence
2-s2.0-105002473473,duplicate,"Portuguese-language version of the English record 2-s2.0-105002620495 (same study, same three CONTENT values). The values were ported into the English record at v1.4.3 and this id retired.",scripts/apply_v143.py MERGE block ("ported CONTENT into EN 105002620495 (PT/EN same paper)")
2-s2.0-105017960510,wrong construct,"Bot presence, not misinformation prevalence: the extracted figure is the share of election posts attributed to bot accounts. Bot metrics are not a prevalence (rule L12).",scripts/apply_v141.py DELETES row 237 (ruling q57; author: "bot presence is not misinfo")
2-s2.0-85189974015,experimental asked-to-share,"Forced-exposure experiment: a planted article, then share-button clicks (13.8%) and stated sharing intention (52.1%). Both fall under the named exclusions for experimental asked-to-share and stated intention. Verified against the full text.",scripts/apply_v163.py item 1; docs/audit_2026-07-30/AUDIT_REPORT.md
2-s2.0-85215785622,curated denominator,"Circular denominator: the share is computed over items that were already fact-checked, so it is composition within a misinformation-selected set, not a prevalence (rule L24).",scripts/apply_v141.py DELETES row 223 (ruling q0)
2-s2.0-105012951951,no qualifying estimate,"Correction notice to 2-s2.0-105012926622 (the same study, itself excluded for a curated denominator). The re-extraction recorded diffusion counts only, 200 anti-vaccination memes shared in 14,594 Facebook accounts, and noted that no falsity-prevalence share is reported.",re-extraction row removed at commit ad99e10; the row's own definition field
2-s2.0-105028607759,curated denominator,"Sampling frame selected by disinformation status: ""only disinformation-based posts were selected"", leaving 207 of 776 climate videos, so the 71% is composition within that set (rule L24).",docs/learned_review_rules.md L24 (names this id); rows removed at commit 47b944f
2-s2.0-85047304648,no qualifying estimate,"Twenty-two hand-traced suspected WhatsApp drug claims with no population denominator; the 86.4% and 27.3% are shares within the traced claims (rule L24).",docs/learned_review_rules.md L24 (names this id); rows removed at commit 47b944f
2-s2.0-85130316440,curated denominator,"The 500 Instagram posts were pre-filtered to ""false or misleading"" fluoride content, so the 82.6% is composition within a misinformation-selected sample (rule L24).",docs/learned_review_rules.md L24 (names this id); rows removed at commit 47b944f
2-s2.0-84871270697,wrong construct,"Greenwashing claims in magazine advertising. Misleading advertising is not misinformation prevalence as this review defines it (rule L29).",docs/learned_review_rules.md L29 (Baum 2012); rows removed at commit ca2ec63
2-s2.0-85010219819,stance not falsity,"Anti-vaccine stance coding (65.5% of 87 videos coded anti-vaccine, 36.8% presenting no scientific evidence), not a per-item truth judgement (rule L29).",docs/learned_review_rules.md L29 (Basch 2017); rows removed at commit ca2ec63
2-s2.0-85084369983,curated denominator,"Tweets sampled on the #5GCoronavirus hashtag, so the 34.8% is composition within a conspiracy-defined set rather than a prevalence (rule L26).",docs/learned_review_rules.md L26 (Ahmed 2020); row removed at commit ca2ec63
2-s2.0-85090200414,quality not falsity,"The reported shares are quality bands over 110 websites: 39.1% meeting none of the JAMA benchmark criteria and 70.0% scoring low on DISCERN. Quality instruments are not falsity judgements.",commit ca2ec63 ("Szmuda(quality)"); the removed rows carry construct QUALITY
2-s2.0-85090209342,composition not prevalence,"511 COVID items drawn from the IFCN fact-check database; the 41.09% ""completely fabricated"" is composition within an already-false set (rule L31).",docs/learned_review_rules.md L31 (Garcia-Marin 2020); row removed at commit ca2ec63
2-s2.0-84923308381,wrong construct,"Engagement composition: 80.86% of likes and 77.92% of comments on troll posts come from users who habitually consume conspiracy stories. That is who engages, not a share of content or of exposure.",commit 80078e0 ("drop Bessi OTHER"); the removed rows carry construct OTHER
2-s2.0-85092601632,off topic,"Academic citation practice: 96% of post-retraction citations to one retracted trial fail to mention the retraction. Not audience exposure to misinformation.",commit 06f58de ("drop Schneider scientometrics (off-scope)")
2-s2.0-85128353484,composition not prevalence,"255 debunked hoaxes from Spanish fact-checking platforms; the 28% COVID share is thematic composition within the fact-check set (rule L41).",docs/learned_review_rules.md L41 (Almansa 2022); rows removed at commit 07dda37
2-s2.0-105013036834,no qualifying estimate,"Abstract-only record. The extraction recorded ""prevalence of misinfo on IRCC/Home Office accounts (no quantitative value)"": no share and no denominator.",row removed at commit 97d9bb5 ("drop 17 no-estimate")
2-s2.0-105041471187,composition not prevalence,"114 debunked bulos analysed with no population denominator; the extraction recorded ""(no prevalence)"".",row removed at commit 97d9bb5 ("drop 17 no-estimate")
2-s2.0-85100465405,composition not prevalence,"2,745 already-flagged misinformation posts characterised by source and theme (conspiracy theories 23.61%). Composition within a curated misinformation corpus, with no ground-truth denominator.",row removed at commit 97d9bb5 ("drop 17 no-estimate")
2-s2.0-85112101773,no qualifying estimate,"Abstract-only, and the only statement is qualitative: misinformation was more prevalent than correction during the crisis. No share with a denominator.",row removed at commit 97d9bb5 ("drop 17 no-estimate")
2-s2.0-105014108895,duplicate,"Duplicate record of 2-s2.0-105011696813 (the same Bolsonaro tweet study): identical values, 20% of 245 August tweets and 41.24% of 275 October tweets, merged into that record at the cross-source dedup.",commit ad99e10 (the same two values appear as additions under 105011696813)
