study,year,sample,data_method,country,period,corpus_sources,fakenews_definition_source,audience_or_engagement_finding,share_of_global_consumption,provenance
"Allcott & Gentzkow",2017,"1,200","Web navigation + questionnaire","USA","Nov 2016","65 fake-news sites; 665 mainstream media","Snopes, PolitiFact, BuzzFeed","Fake-news sites: 159M impressions; mainstream: 3bn impressions","N/A","Berriche 2024 thesis, Annexe 1, p.418-419"
"Nelson & Taneja",2018,"1,000","Web navigation","USA","Jan 2016 - Jan 2017","30 fake-news sites; 24 mainstream media","OpenSources","Fake-news sites: 675,000 unique visitors","Fake-news: 4.5 min/month vs mainstream 9 min/month","Berriche 2024 thesis, Annexe 1, p.419"
"Fletcher et al.",2018,"N/A","Web navigation + Facebook engagement","France","Jan - Oct 2017","38 fake-news sites; 5 mainstream media","Les Decodeurs","Fake-news sites: 1% (mean individual reach); mainstream: 12.6-22.3%","Fake-news: 0.2-9.4M min/month; mainstream: 47.3-178M min/month","Berriche 2024 thesis, Annexe 1, p.419"
"Fletcher et al.",2018,"N/A","Web navigation + Facebook engagement","Italy","Jan - Oct 2017","21 fake-news sites; 5 mainstream media","BUTAC, Bufale, Bufalopedia","Fake-news sites: 1% (mean individual reach); mainstream: 6.2-50.9%","Fake-news: 0.1-7.5M min/month; mainstream: 13.9-443.5M min/month","Berriche 2024 thesis, Annexe 1, p.419"
"Gaumont et al.",2018,"2.4M","Twitter engagement","France","Aug 2016 - May 2017","179 fake-news URLs; 60M tweets","Les Decodeurs","N/A","0.081% of all shared tweets","Berriche 2024 thesis, Annexe 1, p.419"
"Guess et al.",2019,"1,191","Facebook sharing","USA","Apr - Nov 2016","21 fake-news sites","BuzzFeed News","8.5% shared a fake-news site","N/A","Berriche 2024 thesis, Annexe 1, p.419"
"Grinberg et al.",2019,"16,442","Twitter engagement","USA","Aug - Dec 2016","300 fake-news sites; 475 mainstream media","BuzzFeed News, PolitiFact, FactCheck.org, Snopes","1% exposed and 0.1% shared 80% of fake news","1.18% of total exposure to political information","Berriche 2024 thesis, Annexe 1, p.419"
"Allen et al.",2020,"TV panel: 150,000; Web panel: 60-90,000","TV + web navigation","USA","Jan 2016 - Dec 2018","98 fake-news sites; 800 mainstream media; 400 TV programs; 2,000 non-news sites","Grinberg et al. 2019, NewsGuard, BuzzFeed","Only 1.97% consumed more fake-news than mainstream content","<1 min/day; 1% of news consumption; 0.15% of total media consumption","Berriche 2024 thesis, Annexe 1, p.419-420"
"Guess et al.",2020,"2,525","Web navigation","USA","Oct - Nov 2016","300 fake-news sites; 500 news sites","Grinberg et al. 2019","44.3% visited a fake-news site","64.2 sec on average; 5.9% of total information consumed","Berriche 2024 thesis, Annexe 1, p.420"
"Hopp et al.",2020,"543","Twitter + Facebook engagement","USA","Mar - Jun 2017","106 fake-news sites; 1,914 mainstream media","About.com, Aloisius, CBS News, The Daily Dot, Fake News Watch, Fake News Checker, Melissa Zimdars, NPR, Snopes Field Guide, The New Republic, US News World Report","5% (Twitter sharing); 28.9% (Facebook sharing)","N/A","Berriche 2024 thesis, Annexe 1, p.420"
"Osmundsen et al.",2021,"2,337","Twitter engagement","USA","Dec 2018 - Jan 2019","42 fake-news sites; 260 mainstream media","Guess et al. 2019","11% but 1% responsible for sharing 75% of fake news","3% of all shared tweets; 4% of total shared news information","Berriche 2024 thesis, Annexe 1, p.420"
"Cordonnier & Brest",2021,"2,372","Web navigation","France","Sep - Oct 2020","2,295 websites; 651 YouTube channels","Storyzy algorithm","39%","0.16% of total internet connection time; 5% of total online news time","Berriche 2024 thesis, Annexe 1, p.420"
