eid,verdict,reason
2-s2.0-85043244847,CORRECT_EXCLUDE,review/commentary on fake news science
2-s2.0-84867886656,CORRECT_EXCLUDE,correction/continued-influence review
2-s2.0-85134587952,CORRECT_EXCLUDE,off-topic metaverse perspectives
2-s2.0-80052582956,CORRECT_EXCLUDE,credibility detection on Twitter
2-s2.0-85051469782,CORRECT_EXCLUDE,content moderation book/theory
2-s2.0-85100560206,CORRECT_EXCLUDE,vaccine misinfo impact on intent experiment
2-s2.0-85087378095,CORRECT_EXCLUDE,correction intervention experiment
2-s2.0-85072572458,CORRECT_EXCLUDE,systematic review of spread (not estimate)
2-s2.0-85040315235,CORRECT_EXCLUDE,critical evaluation/agenda commentary
2-s2.0-23744433916,CORRECT_EXCLUDE,memory misinformation effect review
2-s2.0-85044841688,CORRECT_EXCLUDE,disinformation order theory
2-s2.0-85083681726,CORRECT_EXCLUDE,suicide risk during COVID off-topic
2-s2.0-85128880552,CORRECT_EXCLUDE,psychological drivers of belief review
2-s2.0-85095409007,CORRECT_EXCLUDE,susceptibility to misinformation
2-s2.0-84867015207,CORRECT_EXCLUDE,opioid epidemic off-topic
2-s2.0-85102739473,CORRECT_EXCLUDE,psychology of fake news review
2-s2.0-84898753023,CORRECT_EXCLUDE,vaccine promotion message trial
2-s2.0-85053713255,CORRECT_EXCLUDE,perceived accuracy belief experiment
2-s2.0-85085965145,CORRECT_EXCLUDE,fake news dataset repository
2-s2.0-33646032683,CORRECT_EXCLUDE,off-topic microbiology
2-s2.0-85112424485,CORRECT_EXCLUDE,deepfake technology review
2-s2.0-85088452375,CORRECT_EXCLUDE,vaccine hesitancy review
2-s2.0-85092533417,CORRECT_EXCLUDE,conspiracy beliefs as barriers
2-s2.0-84861006887,CORRECT_EXCLUDE,anti-vaccine web theory
2-s2.0-85103049149,CORRECT_EXCLUDE,accuracy nudge intervention experiment
2-s2.0-85073170072,CORRECT_EXCLUDE,language analysis of fake news
2-s2.0-85082971829,CORRECT_EXCLUDE,recommendations commentary
2-s2.0-85010888090,CORRECT_EXCLUDE,misperceptions nature/origins review
2-s2.0-85053680144,CORRECT_EXCLUDE,echo chambers epistemic theory
2-s2.0-85138430898,CORRECT_EXCLUDE,inoculation intervention experiment
2-s2.0-0034350107,CORRECT_EXCLUDE,misinformation and democracy theory
2-s2.0-80053291127,CORRECT_EXCLUDE,misinformation detection in microblogs
2-s2.0-85084614046,CORRECT_EXCLUDE,neural fake news detection
2-s2.0-80052722917,CORRECT_EXCLUDE,limiting spread network algorithm
2-s2.0-85094872598,CORRECT_EXCLUDE,vaccine hesitancy review
2-s2.0-85105772354,CORRECT_EXCLUDE,social media health use review
2-s2.0-85081602154,CORRECT_EXCLUDE,algorithmic moderation challenges
2-s2.0-85083197046,CORRECT_EXCLUDE,social media panic commentary
2-s2.0-85064351303,CORRECT_EXCLUDE,science audiences commentary
2-s2.0-85056900292,CORRECT_EXCLUDE,addressing health misinfo commentary
