n,verdict,reason,id,title,has_conc_rows,numbers,sentence
1,NO,adjudicated 2026-09-07: already frozen verbatim as CONTENT 24.1 (view-weighted prevalence); scanner held-set is built from CONCENTRATION rows only,2-s2.0-85085201199,YouTube as a source of information on COVID-19: A pandemic of misinfor,False,24.1,Non-­ factual videos accounted for 24.1% of the total viewership for a total of 62 042 609 views.
2,NO,"adjudicated 2026-09-07: attitudinal group (conservatism=7), not activity-ranked, and group size never reported so conc_group_pct is unobtainable; corpus precedent codes this shape OTHER + political_ideology",2-s2.0-85086037795,"Why do people share ideologically extreme, false, and misleading conte",False,25.6,"In the Facebook sample, those scoring a 7 on the conservatism scale accounted for 25.6% of all countermedia shares, which was the highest per-category percentage observed."
3,NO,"adjudicated 2026-09-07: grouping variable is falsity, not user/source rank: a per-keyword CONTENT+SHARING pair (Table 3: 18.0/68.4), sub-bucket of the frozen SHARING 23.1",2-s2.0-85089622030,Fake news and covid-19 in Italy: Results of a quantitative observation,False,70.0,"This is very self-evident when looking at the data for the keyword “garlic” (“aglio”), where 18% of the news stories that were classified as fake accounted for almost 70% of the shares on social media."
4,NO,adjudicated 2026-09-07: R8 complement; misinformation-side values CONTENT 20 and SHARING 36 already frozen,2-s2.0-85095594211,COVID-19 misinformation: Accuracy of articles about coronavirus preven,False,64.0,"Most of the articles (80%) was found to be accurate, however they accounted for only 64% of shares."
5,NO,"adjudicated 2026-09-07: item-level (top 10 posts), conc_unit admits only user/source; denominator doubly curated (retweets by top users of a pre-selected 39-post set)",2-s2.0-85138494787,"The Influence of Provaping ""Gatewatchers"" on the Dissemination of COVI",False,69.8,"“There is zero evidence that smoking will propagate or increase transmission of COVID-19.”—Dr Konstantinos 11 (6.8) Farsalinos, Cardiologist and anti-smoking researcher a These top 10 posts accounted for 69.8% of retweets of such content by top users; 29 other posts were retweeted by between 1 and 9 top users."
6,NO,"adjudicated 2026-09-07: numerator and denominator are user head-counts by country, no share-of-activity: the OTHER + country object, not concentration",2-s2.0-85153931706,Understanding the Use of Images to Spread COVID-19 Misinformation on T,False,66.9,"From Table 2, we can see that users from the top 5 countries, dependencies, and areas of special sovereignty account for 66.9% of all users who share tweets with COVID-19 misinformation images in our dataset."
7,NO,"adjudicated 2026-09-07: general-news, a bound (>50%) not a value, category-level denominator; too weak even for the non-misinfo comparison set",SEED-cordonnier2021,Cordonier & Brest (2021) — Comment les Français s'informent-ils? (Fond,False,50.0,The online sources of these six daily newspapers alone account for more than 50% of total traffic in their category.
8,ADDING,already queued as an ADDITION to NEW-bergeronboutin-sciadv2026 in apply_v1717,NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,20.0;75.9,"Among Facebook users, the top 20% of users by untrustworthy source exposure were responsible for 75.9% of to- tal exposure to this type of content on the platform."
9,ADDING,already queued as an ADDITION,NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,20.0;90.1,"Similarly, the top 20% of Instagram users were responsible for 90.1% of total un- trustworthy source exposure on the platform."
10,ADDING,already queued as an ADDITION,NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,0.5;74.0,"2 shows, the top 0.5% of untrustworthy Pages by total views (235 Pages) were responsible for 74% of total exposure to untrustworthy Page content."
11,ADDING,already queued as an ADDITION,NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,0.5;70.0,"Similarly, the top 0.5% of untrustworthy domains (13 domains) were responsible for 70% of total exposure."
12,ADDING,already queued as an ADDITION,NEW-bergeronboutin-sciadv2026,Untrustworthy sources on Facebook and Instagram in 2020: Concentrated ,True,0.5;46.0,"Concentration is somewhat lower among groups, where the top 0.5% (199 groups) were responsible for 46% of to- tal exposure."
13,NO,"authorship composition (who posted), not a concentration of misinformation activity",2-s2.0-105014807194,Fake News? Quantifying the Prevalence of Misinformation Related to Sco,False,8.0,[20] observed analogous trends in adult spine surgery prominent hashtags found that HCPs accounted for only 8% of content content.
