study_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,n_high,overall,source_read,quote_item6,quote_item10,notes
2-s2.0-85165815218,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,1,MODERATE,full_text,"News stories are classified as “false” if the URL was rated false by Meta’s Third-Party Fact-Checking Program (3PFC) as of 15 February 2021 (SM section S3.4). ... untrustworthy labels at the domain level, which are applied whenever a domain had two or more URLs rated false by the 3PFC, have better coverage and are more reliable (SM section S4.1).","For potential, exposed, and engaged audiences, 97% of false URLs in each case have audiences that are conservative on average.","Facebook 2020 election, N~208M US adult active users; complete platform-side behavioural trace, full census of URLs shared >100 times, stated Sept 2020-Feb 2021 window -> items 1-5, 7-9 LOW. Item 6 LOW under the source-level ruling (Meta 3PFC fact-check verdicts + aggregated third-party domain-level untrustworthy ratings = external, pre-existing). Item 10 HIGH: the extracted estimates are computed over the set of false/untrustworthy URLs and domains (selected on the outcome), not over the users' whole news diet, so '97% of false URLs' is not an audience-level prevalence denominator. Aggregate-only (no individual-level data) noted but exposure is a direct user-view count, so item 5 LOW."
2-s2.0-85167574647,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,6,HIGH,full_text,"Retrieved videos were analysed and categorised into four groups according to content as useful, misleading, personal experience, or irrelevant. Useful videos were assessed using the global quality scale (GQS) as a validated measure of quality [7, 8] ... The modified DISCERN tool was used as a measure of reliability [7, 9, 10].","The video content was labeled as useful in 84% of videos, misleading in 6%, irrelevant in 6%, and depicted personal experience in 4% of videos.","Pure content analysis (items 4/5 NA). Author-devised useful/misleading label with no external ground truth; GQS and modified DISCERN are validated QUALITY/RELIABILITY instruments substituting for falsity -> item 6 HIGH under the explicit carve-out in the ruling. No intercoder reliability reported for the misleading label -> item 7 HIGH. Three Arabic keyword searches, YouTube default relevance sort, 100 videos -> items 1-3 HIGH. Denominator = 100 topical videos, not an audience -> item 10 HIGH. Collection window 26.06.2022-27.10.2022 stated -> item 9 LOW."
2-s2.0-85168270535,HIGH,HIGH,LOW,NA,NA,LOW,LOW,LOW,LOW,HIGH,3,MODERATE,full_text,"The misinformation category includes all tweets that claimed to be able to predict a future earthquake, according to the state-of-the-art summarized in the recently published Communication Guide1.","In total, 82,129 tweets were considered for the analysis and classified into three categories, as described in Table 2: 39,266 were found to be irrelevant, that is, they did not refer to earthquakes or information about secondary hazards triggered by earthquakes (e.g., power grid damage). This relatively high number of irrelevant tweets is a consequence of the search criteria chosen, which provide wide coverage of the discussion.","Content analysis (items 4/5 NA). Item 6 LOW: falsity is anchored to an external, pre-existing scientific standard (published seismology Communication Guide; earthquakes cannot be predicted) and coded by two seismology-domain experts - 'expert-verified false claims', not ad hoc author judgement. Item 7 LOW: Cohen's kappa = 0.995 for the hand-labelled set and a cross-validated fine-tuned RoBERTa classifier. Item 3 LOW: full-archive Twitter API v2 census of the query, not top-N. Items 1-2 HIGH: keyword-seeded topical universe of earthquake-prediction tweets, not an audience. Item 10 HIGH: denominator is topic-relevant (or all query-matched) tweets, a curated topical corpus. Two-year window (1 Mar 2020-31 Mar 2022) -> item 9 LOW."
2-s2.0-85168520853,LOW,HIGH,LOW,NA,NA,HIGH,HIGH,LOW,LOW,HIGH,4,HIGH,full_text,"Misinformation was categorized into content-related misinformation, context-related misinformation, wrong assumptions, or wrong terminology. An example of the first category (content misinformation) would be a comment suggesting herbal cures for psychiatric symptoms.","At the level of statements, 401/1534 (26.1%) contained misinformation.","Content analysis of statements in 2 Italian Facebook online communities for mental health (items 4/5 NA). Item 1 LOW: the population is a real, pre-existing community, not selected on the outcome. Item 2 HIGH: only 2 of 14 consenting groups, convenience frame, generalised to OCMHs. Item 3 LOW: posts randomly selected, 2 per group per month, Jan 2019-Dec 2021. Item 6 HIGH: bespoke four-part typology (incl. 'wrong terminology') applied by 2 licensed psychologists against their own clinical judgement, no fact-check, list or external standard - internal and ad hoc. Item 7 HIGH: no intercoder reliability statistic anywhere in the paper (no kappa/alpha). Item 10 HIGH: denominator = 1534 statements inside two topical groups, i.e. content share, not audience exposure. Both 6 and 10 HIGH -> overall HIGH despite only 4 HIGH items."
2-s2.0-85169326292,LOW,LOW,HIGH,UNCLEAR,LOW,HIGH,HIGH,LOW,HIGH,LOW,4,MODERATE,full_text,"We asked participants to rate their agreement (“strongly agree” to “strongly disagree”) with the statement, “I share information on social media about politics even though I believe it may be false.”","We surveyed 2,001 American adults (900 male, 1,101 female, Mage = 48.54, SDage = 18.51, Bachelor’s degree or higher = 43.58%) from May 26 through June 30, 2022, using Qualtrics (qualtrics.com). For this survey, Qualtrics partnered with Cint and Dynata to recruit a demographically representative sample (self-reported sex, age, race, education, and income) based on U.S. Census records.","Self-report survey of knowing sharing. Item 10 LOW: numerator = respondents agreeing, denominator = 2,001 census-quota-matched US adults - the population the claim is about. Item 6 HIGH: 'false' is whatever the respondent privately believes may be false; there is no external ground truth of any kind, so this fails the ruling's 'external and pre-existing' test (it is not a list question at all). Item 3 HIGH: quota-matched opt-in online panel, no probability selection. Item 4 UNCLEAR: no response or completion rate reported (only attention-check/speeder exclusions). Item 7 HIGH: single non-validated item, no reliability statistic (authors offer convergent correlations only). Item 9 HIGH: the item carries no reference period, so the prevalence window is undefined."
2-s2.0-85172813494,LOW,LOW,HIGH,UNCLEAR,LOW,LOW,HIGH,LOW,LOW,LOW,2,MODERATE,full_text,"This consists in studying the different material identified as disinformation by Spanish fact-checkers Newtral, Maldita and Verificat, based on the fact-checks published in their websites.","The survey was launched on March 10th until 16th, online, with N=1.003, among Spanish residents between 18 and 74 years old, with a margin of error of +/- 3,4% for a confidence level of 95% and p=q=0,5.","Survey-measured recall exposure to 6 disinformation narratives. Item 6 LOW: narratives are clustered from 163 published fact-checks by three IFCN signatories (Newtral, Maldita, Verificat), co-coded with Newtral journalists - external, pre-existing ground truth. Item 10 LOW: denominator = 1003 Spanish residents 18-74, quota-stratified by sex/age and proportional by autonomous community - a real population. Item 3 HIGH: online panel with stratified quota affixation, not probability selection. Item 4 UNCLEAR: no response/participation rate reported. Item 7 HIGH: single self-report 'have you heard this' recall item, no validation and no false/placebo narratives to bound over-reporting - a known upward bias in recall-exposure designs. Narrative identification window 14 Feb-7 Mar 2022 stated -> item 9 LOW. Overall MODERATE rather than LOW because item 4 UNCLEAR is treated as HIGH in the summary rule."
2-s2.0-85173224200,HIGH,HIGH,HIGH,NA,NA,LOW,HIGH,LOW,LOW,HIGH,5,MODERATE,full_text,"el análisis de contenido sobre desinformación se complementó con una consulta de los principales medios de comunicación y de las agencias de verificación de datos para identificar algún tipo de información falsa. En el caso de encontrarla, se clasificó acorde a las variables definidas por Wardle y Derakhshan (2017). [EN: the content analysis of disinformation was complemented with a consultation of the main news media and of the fact-checking agencies in order to identify some type of false information. Where it was found, it was classified according to the variables defined by Wardle and Derakhshan (2017).]","el análisis fue ejecutado en los 100 tuits más retuiteados puesto que así se analizarían las publicaciones que tuvieron más repercusión y relevancia dentro de sus contextos [EN: the analysis was carried out on the 100 most-retweeted tweets, since in this way the posts with the greatest impact and relevance within their contexts would be analysed.]","Spanish-language content analysis of the 100 most-retweeted original tweets of Abascal and of Bolsonaro (items 4/5 NA). Item 6 LOW, but this is the least confident call in the shard: the case definition is the external, pre-existing Wardle & Derakhshan (2017) seven-type information-disorder typology, and falsity was checked against mainstream media and fact-checking agencies - external and pre-existing rather than internal and ad hoc. Against that, the fact-check consultation is described only in general terms and the numerator folds in satire and misleading content; the ruling explicitly forbids penalising the latter here (breadth moderator handles it). Item 7 HIGH: a reliability check between the two researchers is asserted but no kappa/alpha is reported. Items 1-3 HIGH: single-actor accounts, top-100 by retweets. Item 10 HIGH: denominator = one politician's 100 most-retweeted tweets (single_source), the clearest possible non-audience denominator. One-year window (30 Nov 2020-30 Nov 2021) -> item 9 LOW."
2-s2.0-85173877860,HIGH,HIGH,LOW,NA,NA,HIGH,LOW,LOW,LOW,HIGH,4,HIGH,full_text,"Information accuracy was judged based on experience and clinical knowledge whenever possible, or cross-referenced with reliable sources including the clinical practice guidelines on breast cancer and peer-reviewed journal articles.","From the 780 tweets analysed for content accuracy, 456 (58.5%) misinformation was identified.","Content analysis of Malay/English breast-cancer tweets 2018-2022 (items 4/5 NA). Item 6 HIGH: falsity rests on the coders' 'experience and clinical knowledge' with clinical practice guidelines as the fallback standard - guideline adherence substituting for verified falsity, which the ruling names explicitly as a failure mode; there is no fact-check verdict or pre-existing credibility list. Item 7 LOW: Cohen's kappa reported (0.874 English, 0.887 Malay), two independent coders, third-person adjudication. Item 3 LOW: random selection within the collected corpus. Items 1-2 HIGH: keyword-seeded ('breast cancer'/'kanser payudara') topical corpus. Item 10 HIGH: denominator = 780 prevention/treatment tweets, itself a filtered subset of 6221 keyword-collected tweets. Both 6 and 10 HIGH -> overall HIGH."
2-s2.0-85173913530,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,Misleading videos were considered any video containing information that has not been proven scientifically or that has been scientifically proven to be wrong under any of the topics mentioned above.,Misleading information was determined in 34 videos (23.6%).,"Content analysis of varenicline/smoking-cessation YouTube videos (items 4/5 NA). Item 6 HIGH: wholly author-devised 'not scientifically proven' criterion, no external list, fact-check or expert-verified claim set; DISCERN and GQS (validated QUALITY tools) carry the rest of the assessment. Item 7 HIGH: the two reported kappas (0.81, 0.84) are for the GQS and DISCERN scales only - no reliability statistic is given for the useful/misleading classification that produces the prevalence figure. Items 1-3 HIGH: six keyword searches, first three result pages, 360 videos ranked by views. Item 9 HIGH: single-day snapshot (search and metrics recorded 6 March 2021) with no defined prevalence period. Item 10 HIGH: denominator = 144 surviving topical videos."
2-s2.0-85174615177,HIGH,HIGH,HIGH,NA,NA,HIGH,HIGH,LOW,HIGH,HIGH,7,HIGH,full_text,"Regarding misinformation presence, the authors characterized misinformation as any ophthalmic-related assertion rooted in anecdotal evidence, falsehood, or deception due to the absence of established scientific understanding. ... videos suspected of containing false information underwent fact-checking based on currently accepted guidelines within ophthalmology as well as published evidence in the literature.","Among the total 723 videos, 5.4% (n = 39) contained misinformation, comprising 4.8% of likes, 4.7% of comments, and 11.7% of all bookmarks","Content analysis of TikTok ophthalmology videos (items 4/5 NA). Item 6 HIGH: 'the authors characterized misinformation as...' is internal and ad hoc, and the verification standard is currently accepted ophthalmology GUIDELINES - guideline adherence standing in for falsity, an explicit failure mode in the ruling. PEMAT-A/V is validated but measures understandability/actionability, not veracity. Item 7 HIGH: no intercoder reliability for the misinformation grading (assessments by medical students and a research coordinator under an ophthalmologist's guidance). Items 1-3 HIGH: 37 ophthalmology hashtags, top 20 most-liked videos per hashtag - engagement-ranked topical corpus. Item 9 HIGH: single search snapshot (August 2023), no prevalence period defined. Item 10 HIGH: denominator = 723 hashtag-curated videos, not any audience's diet."
