id,author,confidence,reason,n_rows
2-s2.0-105035305443,USA,0.8,"DROP both rows. Row 1 (544/~419,551 = 0.13% 'prevalence'): the 544-post numerator was selected by a misinformation-specific KEYWORD list ('plandemic' etc.), NOT",2
2-s2.0-85215259458,Spanish-speaking,0.8,"DROP. The stored 71% figure is '155 videos did not mention any risk of semaglutide' = RISK-OMISSION / information incompleteness (a DISCERN quality dimension), ",1
2-s2.0-85138494787,United States,0.8,"DROP all three rows. (1) '97% of tweets produced by top 25% of users' is cited from Pew [38], not the paper's own measurement, and is production/SHARING concent",3
2-s2.0-105007986232,South Africa,0.95,"DROP_STUDY (L29 anti-vaccine STANCE != misinformation). The 16.2% is the share of vaccine posts expressing NEGATIVE SENTIMENT, explicitly defined as 'any concer",1
2-s2.0-85132455715,China,0.9,"DROP_STUDY. Entire corpus is built BY misinfo status: posts were collected only because they matched 1,065 fact-check-confirmed false claims (11,450 misinfo pos",3
2-s2.0-85168209968,US,0.95,"Both rows DROPPED -> DROP_STUDY. The 52 physicians were SELECTED because they posted misinformation (structured searches FOR COVID misinfo, traced from America'",2
2-s2.0-105029581133,Japan,0.85,"DROP_STUDY. The only candidate value (21.4% = 18/84 videos coded anti-fluoride) is a STANCE composition, not a misinformation share (L29: anti-vaccine/anti-fluo",1
2-s2.0-105006769846,Spain,0.9,"DROP_STUDY. The 24.8% (299/1204) is the share of fact-checked false political claims that are REPETITIONS of an earlier claim -- a recurrence rate, NOT a misinf",1
2-s2.0-85075384367,USA,0.85,"DROPPED both rows -> DROP_STUDY. Row1 (47% anti-vaccine ads, 145/309): anti-vaccine STANCE != misinformation/falsity (L29: anti-vax stance is not a misinfo-prev",2
2-s2.0-85140920033,Italy,0.9,DROP. The '14% creators / 86% consumers' figure is the share of fake-news SPREADERS classified as creators ('a minority of accounts is responsible for the major,1
2-s2.0-85029143850,USA,0.85,"DROP both rows and study. (1) The sample is a CURATED SINGLE-SOURCE corpus of ExxonMobil's own NYT advertorials, hand-selected as the corporate-deception docume",2
2-s2.0-85205783299,Iran,0.65,"DROPPED. The 29.5% (118/400) figure is the ANTI-FLUORIDE STANCE share, not a verified-falsity measure against ground truth (L29: anti-X stance != misinformation",1
2-s2.0-85213946980,Japan,0.8,"DROPPED all 3 rows. (1) These are SOURCE/WEBSITE-level assessments, not content-item exposure (L27: source/website-level != content prevalence -> drop). (2) The",3
2-s2.0-85106423850,Spain,0.85,ALL 6 rows DROPPED per L29 (misleading/regulatory-non-compliant advertising is NOT misinformation prevalence) reinforced by protocol QUALITY-as-prevalence exclu,6
2-s2.0-85151055175,United States,0.85,"DROP all 6 rows (construct mismatch, L3). The reported %s are the RATIO of misinfo-TOPIC MENTIONS to total information units (footnote 8), aggregated by topic s",6
2-s2.0-85158094363,United States,0.9,DROP all 3 rows (L12 bot/echo-chamber metrics != misinfo prevalence). 31% = share of impeachment tweets produced by bots; 1% = bot share of accounts; 10% = bot ,3
2-s2.0-85186439602,Spain,0.92,DROP both rows (L41/L42/L24 circular). 40.7% social / 37.2% politics are TOPIC-COMPOSITION shares WITHIN a 729-item fact-check database (curated by construction,2
2-s2.0-85028727341,Global,0.85,"DROP both rows (L29 anti-vaccine STANCE != misinformation). 65.02% anti-vaccine / 20.87% pro-vaccine are SENTIMENT classifications, not falsity/credibility judg",2
2-s2.0-70349234627,United States,0.85,"Both rows dropped (construct mismatch, L3/L8-type). The study codes magazine pictures of sleeping infants for ADHERENCE TO AAP safe-sleep guidelines, not for fa",2
2-s2.0-105026682823,Japan,0.8,"Dropped (stance != misinformation, L29). The 22% (19/86) is the share of videos coded as OPPONENT ('anti') by their STANCE toward fluoride, not by factual falsi",1
2-s2.0-85189757456,United States,0.75,"All three rows dropped. (1) Statin skepticism (humans 40%, bots 19%) = STANCE/QUALITY measure ('unsubstantiated doubts'/skepticism), not a falsity-vs-ground-tru",3
2-s2.0-84936755035,Global (English),0.8,DROP both rows. The measured quantity is a NEGATIVE-OPINION sentiment classifier (25.13% of tweets 'negative'; 29.54% of users exposed to a majority of negative,2
2-s2.0-85104141161,Canada,0.75,"DROP both rows. (1) These are SOURCE/WEBSITE-level quality scores (% of websites meeting all 4 JAMA criteria), not content-item misinfo exposure -> per L27 (sou",2
2-s2.0-45549091998,USA,0.78,"Both rows dropped. Sampling frame = 49 websites returned by searching 'silver nasal spray' across 5 engines to MARKET this dubious product (a single-product, so",2
2-s2.0-105039147215,Cross-country (134 countries),0.8,DROP_STUDY (both rows). This measures whether GOVERNMENTS manipulate their own official COVID death statistics (45-55% of 134 countries misreport; global misrep,2
2-s2.0-105029662286,China,0.8,"DROP_STUDY. The only reported numbers are QUALITY/reliability scale scores (median JAMA 2.00, mDISCERN 3.00, GQS 3.00) across 115 articles; per protocol QUALITY",1
2-s2.0-105009167529,US,0.82,DROP_STUDY (both rows). The figures (60.05% of proposed notes / 69.79% of helpful notes fall on Republican posts) are a PARTISAN COMPOSITION of the already-flag,2
2-s2.0-85184568825,United States,0.8,"DROP all three rows. (1) 9.8% 'perceived experts among antivaccine-community users' = composition of a stance-defined community / OTHER, not a misinfo prevalenc",3
2-s2.0-85137393348,multi-country,0.85,DROP per L12 (bot/account metrics != misinfo prevalence): both rows are the % of accounts in a pro/anti-vaccination Twitter network classified as bots by Botome,2
2-s2.0-85060587260,Spain,0.7,"DROP per L29 (anti-vaccine STANCE != misinformation). The extracted '0% anti-vaccination' is a tone/stance code among the 194 most-popular diphtheria tweets, no",1
2-s2.0-105030586804,Brazil,0.86,All three current rows dropped. (1) 25.5% 'hyperpartisan media' and (2) 1.07% 'mainstream media' are SOURCE/outlet-level classifications of shared links (which ,3
2-s2.0-85107696753,United States,0.85,Dropped the current 41.0% row: it is a MISREAD. In the text '41.0%' is the share of people in sub-Saharan Africa who USE the internet to get health information ,1
W3048848247,Global (87 countries),0.85,"DROP per L24/L26 (sampling-frame circularity). The denominator (2,276 'reports of rumors, stigma, and conspiracy theories') was itself selected because the item",1
W3190551529,Brazil,0.9,DROP per L24/L31 (fact-check/report-platform sample = circular by construction). The 85 records are user-submitted suspected-misinformation items sent to a debu,1
W4225759820,US,0.92,"Both current rows (19.6% Trump-hashtag users suspended, 4.5% Biden-hashtag users suspended) are account-suspension/enforcement rates = OTHER, not a misinformati",2
W4380302165,Multi-country,0.85,Construct mismatch (L3 / protocol stance!=misinfo). The 39.6% (r/Russia) and 8.86% (r/politics) are the share of comments semantically MATCHING a pre-defined se,3
2-s2.0-85148600371,Global,0.9,"All five rows (2.49% global; 3.45% US / 2.74% UK / 2.46% AU / 1.86% CA) are the share of vaccine-related tweets classified as ANTI-VACCINATION STANCE, not as fa",5
2-s2.0-85097120668,United States,0.8,"Random 10% sample of #HPV/#HPVVaccine/#Gardasil Instagram posts (relevant n=580) is a neutral topical denominator, BUT the extracted 44.1% (256/580) is the shar",1
2-s2.0-85043355303,Italy,0.78,"47.6% (40/84) is a QUALITY/stance score (negative-or-ambiguous TONE toward squalene adjuvants), not a measured-falsity rate, and it is a SOURCE/WEBSITE-level ra",1
W3083835905,United States,0.72,"35.4% (opponents) / 11.3% (proponents) are shares of TOPICS (not tweets, not users, not people) classified unreliable, measured WITHIN account sets selected by ",2
W3169881994,Spain,0.8,Sample is the #yonomevacuno (#IDoNotGetVaccinated) hashtag stream - a conspiracy/anti-vax-DEFINED hashtag set. Per L26 (conspiracy-hashtag-selected = drop) and ,2
W3186037318,Indonesia,0.82,The corpus is 359 fact-checked/debunked hoaxes collected from the government's Hoax Issue Report - a fact-check/curated-misinfo set with NO exposure denominator,1
W2737264674,USA,0.85,"DROP (sampling-frame circularity, L24/L26). The sample is 304 stories pre-selected to be merger RUMORS (RavenPack SUB_TYPE='Rumor'). '21% accuracy -> ~79% of ru",1
W4220746315,United States,0.8,"DROP the current 42.4% row (construct mismatch, L3). 42.4% = share of relevant tweets 'suggesting ENDS use is associated with worse COVID-19 symptoms' - this is",1
