claim_idx,producer,claim,ours,coder,note
4,Snopes,Snopes ... 28.65% of its fact-checking articles falling under [real claims] category,FACTCHECK_COMPOSITION,NOT_MISINFO_SPECIFIC,fact-checking
36,Meta,Disinformation Dozen responsible for about 0.05% of all vaccine-content views on Facebook,EXPOSURE,CONCENTRATION,
95,Science Feedback (SIMODS),[R1 X/Twitter/problematic_content] both TikTok and X/Twitter appear as the platforms with the highest prevalence of Prob,NOT_MISINFO_SPECIFIC,CONTENT,
28,OECD,Respondents misidentified true and false content 40% of the time,DISCERNMENT,ATTITUDE,
30,WHO,Misinformation in vaccine-related posts reached up to 51%,ACADEMIC_RELAY,REACH,
59,NewsGuard,"40.21% of 6,513 rated sites receive a red unreliable rating",CONTENT,OTHER,
97,Science Feedback (SIMODS),"[R1 YouTube/problematic_content] Facebook ranks third with 27% [24.3%, 29.1%], followed by YouTube at 22% [20.0%, 24.5%]",NOT_MISINFO_SPECIFIC,CONTENT,
34,Avaaz,16% of top 100 YouTube videos for 'global warming' contained climate misinformation,CONTENT,TOPICAL,remember we said somethnig can be both content and topical
35,CCDH,Twelve individuals responsible for 65% of anti-vaccine content on social media,OTHER_NOT_PREVALENCE,CONCENTRATION,
12,Reuters Institute,None of the false news outlets reached more than one in 20 readers monthly,OTHER_NOT_PREVALENCE,REACH,
48,Ofcom,"Among those who encountered it, 71% say they have seen it online",CONDITIONAL_SUBGROUP,RECALL,
73,Meta (rebuttal to CCDH Disinformation Dozen),12 accounts responsible for only 0.05% of all vaccine-related content views,EXPOSURE,CONCENTRATION,
5,PolitiFact (via HKS Misinfo Review),only 10.95% of PolitiFact's fact-checking articles were classified as real claims,FACTCHECK_COMPOSITION,CONTENT,"weird one, it's withing fact-chekcing articles "
40,TikTok,69.7% of removed COVID-19 disinformation videos had zero views,MODERATION_METRIC,COUNT,
