key,kind,id,RULING,RULING_reason
OMISSION|2-s2.0-105016716843|CONTENT|8,OMISSION,2-s2.0-105016716843,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-105016716843|CONTENT|10,OMISSION,2-s2.0-105016716843,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-105026138407|CONTENT|21,OMISSION,2-s2.0-105026138407,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-105026138407|CONTENT|1,OMISSION,2-s2.0-105026138407,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-105029413645|CONTENT|6.8,OMISSION,2-s2.0-105029413645,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-105035056055|SHARING|8.12,OMISSION,2-s2.0-105035056055,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-105039619015|EXPOSURE|0.34,OMISSION,2-s2.0-105039619015,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-42649109723|CONTENT|42,OMISSION,2-s2.0-42649109723,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85060549676|CONCENTRATION|74,OMISSION,2-s2.0-85060549676,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
OMISSION|2-s2.0-85074596916|SHARING|24.1,OMISSION,2-s2.0-85074596916,SAME_AS_OURS,"[Claude default, Sacha-approved 2026-09-08] the 2016 subtotal including Russian state outlets; the ledger ruling already replaces our 17.4 with it"
OMISSION|2-s2.0-85074596916|CONCENTRATION|27.8,OMISSION,2-s2.0-85074596916,ADD_ROW,"[Claude default, Sacha-approved 2026-09-08] 0.11% of users (high-volume amplifier accounts) produced 27.8% of divisive/conspiracy shares: a user-level, activity-defined concentration row; verify 27.8 vs the 26.7 that Table 2 reproduces"
OMISSION|2-s2.0-85084031148|CONTENT|34,OMISSION,2-s2.0-85084031148,NOT_CODEABLE,"[Claude default, Sacha-approved 2026-09-08] default for rows the extractor itself flagged as a variant, borderline or low confidence; Sacha 2026-09-08: default not codeable unless a high-quality behavioural row"
