eid,verdict,reason
2-s2.0-85094820438,CONFIRM,"Content-prevalence: 85.5% webpages portray immune boosting as beneficial"
2-s2.0-105024884753,CONFIRM,"Quantifies anti/pro-vax tweet shares over time in 482k tweets"
2-s2.0-85158094363,CONFIRM,"Bots 1% users generate 31% tweets; Qanon bot prevalence ~10%"
2-s2.0-85128118104,CONFIRM,"83.6% heard at least one food rumor (exposure prevalence)"
2-s2.0-105003263851,REJECT,"Fact-check topic patterns; no misinfo prevalence/exposure estimate"
2-s2.0-85096862559,CONFIRM,"Quantifies share of unreliable-source links among 13M tweets"
2-s2.0-105033611630,CONFIRM,"94% of 230 online sources contained false information"
2-s2.0-85010219819,CONFIRM,"65.5% of vaccine videos discouraged use (content-prevalence)"
2-s2.0-105004472114,CONFIRM,"Survey of disinformation exposure/sharing in 3240 participants"
2-s2.0-85109181085,REJECT,"Suspended accounts no more likely to share fake news; no prevalence estimate"
2-s2.0-105034403065,REJECT,"YouTube video quality scores; no misinformation prevalence quantified"
2-s2.0-85107816326,UNSURE,"Spin prevalence in reviews; not misinformation exposure/consumption"
2-s2.0-105001591540,CONFIRM,"20% bots vs 80% humans; bot prevalence across events"
2-s2.0-105021775520,CONFIRM,"Quantifies fake-news engagement scale on Facebook by classification"
2-s2.0-85192143640,CONFIRM,"59% of COVID misinformation distributed via Facebook (distribution)"
2-s2.0-85130635023,CONFIRM,"Quantifies user engagement concentration with low-credibility sources"
2-s2.0-85134325788,CONFIRM,"18.5% of asthma videos contained misleading information"
2-s2.0-105028607759,CONFIRM,"71% of 207 TikTok videos decontextualized; 34% by scientists"
2-s2.0-85152588321,REJECT,"Regression of virality on believability; no prevalence/exposure estimate"
2-s2.0-85137929479,CONFIRM,"Quantifies portion of misinformative videos recommended (filter bubble)"
2-s2.0-105019603181,CONFIRM,"Misinformation actually consumed in 21M URL browsing panel"
2-s2.0-85060587260,CONFIRM,"Prevalence of misinformation terms; coded 194 popular tweets"
2-s2.0-85118897555,CONFIRM,"Quantifies low-quality content prevalence among health influencer posts"
2-s2.0-85168003167,CONFIRM,"55.9% saw cancer misinformation on social media (exposure)"
2-s2.0-85192635397,CONFIRM,"Misinformation consumption/prevalence across European countries"
2-s2.0-85178921087,CONFIRM,"Quantifies misinformation spread size/depth/breadth vs true news"
2-s2.0-85138526885,CONFIRM,"77.8% bots, 83.3% partisan-source content in (dis)info bubbles"
2-s2.0-85166442191,UNSURE,"Sentiment of GMO tweets; misinfo clusters identified but not quantified as prevalence"
2-s2.0-85056802427,CONFIRM,"Quantifies bot role in spreading low-credibility content, 14M messages"
2-s2.0-85083063112,CONFIRM,"Quantifies disinformation engagement asymmetries, 5.2M troll tweets"
2-s2.0-85199446608,CONFIRM,"Prevalence of repeated COVID misinformation exposure (10-43%)"
2-s2.0-85180489491,CONFIRM,"Production/consumption/diffusion of misinformation quantified"
2-s2.0-85066894147,CONFIRM,"Prevalence of fake-news content over campaign; consumption reported"
2-s2.0-105010913703,CONFIRM,"37.4% exposed to economic conspiracy theories (survey exposure)"
2-s2.0-85021701404,CONFIRM,"26% of implant testimonial videos reported misinformation"
2-s2.0-85217829893,CONFIRM,"Quantifies proportion of disinformation across 214 WhatsApp groups"
2-s2.0-85135423153,CONFIRM,"Share of vaccine-critical content in debates quantified over time"
2-s2.0-105002669302,REJECT,"YouTube ECMO video quality scores; no misinformation prevalence"
2-s2.0-85148213243,CONFIRM,"Characterizes fake-news spreaders; bot vs human sharing quantified"
2-s2.0-105013108330,REJECT,"Video quality/reliability scores; no misinformation prevalence estimate"
2-s2.0-85043256051,CONFIRM,"Diffusion of false vs true news quantified, 126k stories"
2-s2.0-85111545521,CONFIRM,"Measures actual exposure to untrustworthy sites via browser history"
2-s2.0-105007986232,CONFIRM,"16.2% of vaccine posts expressed negative sentiment (content-prevalence)"
2-s2.0-85111028354,UNSURE,"83% press releases exhibited spin; spin not misinformation consumption"
2-s2.0-84985993999,CONFIRM,"Content-prevalence of brain-death misinformation in 208 articles"
2-s2.0-85168520853,CONFIRM,"26.1% of comments contained medically inaccurate information (prevalence)"
2-s2.0-85174810384,CONFIRM,"Volume of misinformation by topic quantified, 12,581 posts"
2-s2.0-105037362500,CONFIRM,"Prevalence/engagement of anti-vaccine discourse quantified pre/post"
2-s2.0-85196358234,CONFIRM,"Prevalence of synthetic media on X over time quantified"
2-s2.0-105030082417,CONFIRM,"<10% of YouTube NVP recommendations evidence-based (content-prevalence)"
