order,id,journal,title,pipeline,human,note
6,W4281770633,Journal of Quantitative Description: Digital Media,Repeat Spreaders and Election Delegitimization: A Comprehensive Dataset of Misinformation Tweets from the 2020 U.S. Election,INCLUDED,EXCLUDE,
11,2-s2.0-85097120668,Journal of Medical Internet Research,Dimensions of misinformation about the HPV vaccine on instagram: Content and network analysis of social media characteristics,DROPPED,INCLUDE,antivaccine = misinformation (44.1%)
14,2-s2.0-85046071518,PLOS ONE,Anatomy of an online misinformation network,DROPPED,INCLUDE,"As a subresult, they verified a random subsample of 50 claims. (not their main objective). (72.7%) "
18,2-s2.0-105000242013,EPJ Data Science,"Lost in translation: using global fact-checks to measure multilingual misinformation prevalence, spread, and evolution",DROPPED,INCLUDE,"within a misinformation subset: maybe a ""reach"" measurement since 10.26% are fact-checked more than once in different languages. "
20,2-s2.0-105039147215,Journal of Economic Growth,Manipulation of information in times of crisis: evidence from Covid excess mortality,DROPPED,INCLUDE,
21,2-s2.0-85164306347,JMIR Infodemiology,Advertising Alternative Cancer Treatments and Approaches on Meta Social Media Platforms: Content Analysis,DROPPED,INCLUDE,
23,2-s2.0-85151113840,International Journal of Environmental Research and Public Health,Realfood and Cancer: Analysis of the Reliability and Quality of YouTube Content,DROPPED,INCLUDE,12.5%
27,2-s2.0-85167574647,ecancermedicalscience,Quality and reliability of YouTube videos in Arabic as a source of patient information on prostate cancer,INCLUDED,EXCLUDE,I think misleading OR irrelevant is not enough to count as misinformation. 
28,2-s2.0-85210161252,Naunyn-Schmiedeberg's Archives of Pharmacology,Disinformation on dietary supplements by German influencers on Instagram,DROPPED,INCLUDE,has results for different types of misleading information which they call disinformation (e.g. amount of vitamin intake)
30,2-s2.0-45549091998,"Ear, Nose & Throat Journal",Silver nasal sprays: Misleading Internet marketing,DROPPED,INCLUDE,I do not if misleading (not mentioning any side-effects) counts as misinformation? Maybe claims about the health benefits can be seen as active misinformation and not just misleading information?
35,2-s2.0-86000736431,Medien & Kommunikationswissenschaft,Accomplice or Corrective? Google and YouTube’s Role in Spreading Conspiracy Theories about Chancellor Candidate Annalena Baerbock during the 2021 German Federal Election,INCLUDED,EXCLUDE,
39,2-s2.0-105038578898,BMC Public Health,Exposure to health misinformation on social media across key health domains: a systematic review and meta-analysis of survey-based studies,DROPPED,INCLUDE,"Meta-analysis - not own data, but does mention a (reported) prevalence metric (59%)"
40,2-s2.0-85077296908,Journal of Bone and Joint Surgery,Online Direct-to-Consumer Advertising of Stem Cell Therapy for Musculoskeletal Injury and Disease: Misinformation and Violation of Ethical and Legal Advertising Parameters,DROPPED,INCLUDE,websites containing at least one statement of misinformation. 
43,2-s2.0-85091698994,Companion Proceedings of the Web Conference 2020,The Diffusion of Mainstream and Disinformation News on Twitter: The Case of Italy and France,INCLUDED,EXCLUDE,no percentage metric found
47,2-s2.0-85184568825,PNAS Nexus,Perceived experts are prevalent and influential within an antivaccine community on Twitter,DROPPED,INCLUDE,"metric available for the sharing of low-quality links. In the description the study mentions that this ""low quality source"" is commonly used as a proxy forr misinformation sharing, so I presume it is applicable here. "
48,2-s2.0-85085201199,BMJ Global Health,YouTube as a source of information on COVID-19: A pandemic of misinformation?,INCLUDED,EXCLUDE,"Quality, and non-factual versus factual score"
49,2-s2.0-85215939792,AIMS Public Health,Descriptive analysis of TikTok content on vaccination in Arabic,INCLUDED,EXCLUDE,No percentage metric found
