item_id,construct,denominator_class,breadth,confidence_1to5
A01,CONTENT,topical,misleading,5
A02,CONTENT,topical,unreliable_source,4
A03,QUALITY,topical,low_quality,4
A04,CONTENT,topical,misleading,5
A05,EXPOSURE,political_news,unreliable_source,5
A06,EXPOSURE,all_media,unreliable_source,5
A07,SHARING,all_media,unreliable_source,4
A08,CONCENTRATION,population,unreliable_source,5
A09,CONTENT,topical,misleading,3
A10,CONTENT,topical,false,5
A11,QUALITY,topical,false,4
A12,CONTENT,topical,false,5
A13,CONTENT,political_news,false,5
A14,CONTENT,topical,misleading,5
A15,EXPOSURE,all_media,unreliable_source,5
A16,CONTENT,topical,false,4
A17,CONCENTRATION,population,unreliable_source,5
A18,RECALL,topical,misleading,3
A19,CONTENT,topical,false,4
A20,CONTENT,curated_sample,misleading,5
A21,REACH,population,unreliable_source,5
A22,SHARING,political_news,unreliable_source,5
A23,EXPOSURE,all_media,unreliable_source,5
A24,EXPOSURE,curated_sample,unreliable_source,4
A25,REACH,population,fabricated,5
A26,SHARING,all_media,unreliable_source,5
A27,RECALL,topical,false,5
A28,RECALL,topical,false,5
A29,CONTENT,topical,misleading,5
A30,CONTENT,topical,false,3
