study_id,window,study_median_seen_pct,question_verbatim,evidence_note,text_kind
2-s2.0-105002670726,frequency_scale,10.5,"How often per week do you currently come across information on the coronavirus that you think is false or misleading? [several times a day, every day or almost every day, several times a week, once a week, several times a month, rarely, never]","Measures section prints the item verbatim. Unbounded how-often scale anchored to the present ('currently'); the response options run from 'several times a day' to 'never' and include monthly categories, so no bounded recall window. Frozen values (17% several times a day; 4% never) are Wave 3 (Feb 2021) marginals of this item.",v2txt
2-s2.0-105002787411,frequency_scale,25,Misinformation (fake news) about COVID-19 that I have encountered myself so far [ordinal scale: Hourly / Daily / Weekly / Monthly / Semiannually / Never],"Item wording from the Table 1 variable list. 'So far' with an unbounded frequency scale; the Findings text glosses it as 'since the pandemic began', but the item itself sets no bounded window.",v2txt
2-s2.0-105004472114,ever,6.5,,"Item stem is never printed. The Measures section paraphrases it: 'Participants were asked to respond for each one narrative (1) whether they encounter it, and (2) whether they shared it', and the derived variable is 'the number of disinformation narratives (out of 7) that participants recognized as previously encountered (range: 0-7)'. 'Previously encountered' with no period attached, applied to seven named narratives, so coded ever on the same rule as other item-recognition batteries. The narratives were selected for salience in the Czech information space at the time of fielding (June 2023), which loosely bounds them, but no bound is stated to respondents. Frozen 6.5% = share recognising five or more of the seven.",v2txt
2-s2.0-105008238753,past_week,60.5,[Q6] ¿Con qué frecuencia cree que ha estado expuesto personalmente a la desinformación y las noticias falsas en los últimos 7 días? [How often do you think you have been personally exposed to disinformation and fake news in the last 7 days?],"Question battery reproduced in the methods section. Explicit 7-day window; the frozen 60.5% is 'Muy a menudo + A menudo' [very often + often] on this item, N = 994.",v2txt_raw
2-s2.0-105008560082,ever,77.4,We asked whether the respondents had heard each of ten common statements (circulating conspiracy theories in Malawi) about COVID-19 and the COVID-19 vaccine,"Methods paraphrase the item; no time frame attached to 'had heard'. Frozen values are the two most commonly heard statements (80.7%, 74.1%).",v2txt_raw
2-s2.0-105009546063,period_specific,37.5,,"Survey fielded 17-21 July 2024, days after the 13 July 2024 Trump assassination attempt; respondents were asked whether they had heard each of two rumours about that event. Exposure is bounded by the event itself. Exact item text is in the Supporting Information, which is not in the archived text.",v2txt_raw
2-s2.0-105012522879,frequency_scale,87.9,"Para cada una de las siguientes afirmaciones, ¿puede decir su grado de acuerdo o de desacuerdo? A menudo encuentra noticias o información que creen que distorsionan la realidad o incluso que son falsas [For each of the following statements, can you state your level of agreement or disagreement? You often come across news or information that you think distorts reality or is even false]",Methods reproduce the item. Agree/disagree format with 'a menudo' [often] embedded and no period; unbounded. Frozen 87.9% = 'completamente de acuerdo' + 'de acuerdo'.,v2txt
2-s2.0-105013056526,frequency_scale,37.1,,"Item wording sits in online supplemental material 1, not in the archived text. Results report the response options ('at least once a week' 21.5%, 'several times a month' 52.7%), i.e. an unbounded how-often scale for encountering food-related fake news, with no bounded recall period.",v2txt
2-s2.0-105018276467,frequency_scale,68.8,,,coded 2026-08-12
2-s2.0-105024994777,frequency_scale,59,"How much of the health information that you see on social media do you think is false or misleading? [I do not use social media, none, a little, some, a lot]","HINTS 6 item, printed verbatim in Measures and Table 1. Present tense, no period; an amount/proportion scale rather than a how-often scale, but unbounded and period-free, so it groups with frequency_scale.",v2txt
2-s2.0-105026782770,ever,65,"Participants were presented with a list of factors commonly claimed to influence cancer recurrence or progression. They were asked whether they had encountered information that certain factors could increase (eg, sugar consumption, deodorant use, and vaccines) or decrease (eg, organic food, vitamins or supplements, and cleanses) cancer recurrence or progression risk.","Methods paraphrase the item; 'had encountered' with no time frame. Eligibility (diagnosis within the past 10 years) bounds the sample, not the question.",v2txt
2-s2.0-105027376456,ever,35,"Have you ever encountered false or misleading information in online classes or platforms? If yes, where? [Section 3, item 4 of the questionnaire reproduced in the article]","The full questionnaire is printed in the article. The frozen 60% 'reported encountering false or misleading academic content' plus the platform breakdown (WhatsApp 40%, YouTube 30%, social media pages 20%) map onto this ever/where item. A companion item ('How often do you encounter false or misleading information on academic topics through digital platforms?') is an unbounded frequency scale, but the frozen values come from the ever item.",v2txt
