key,section,RULING,RULING_reason
A1|85078014559|conc_group_pct,A. The 8 ledger conflicts,LEAVE_EMPTY,
A2|105039619015|pink_slime,A. The 8 ledger conflicts,REMOVE_ROW,
A3|85194880315|flag,A. The 8 ledger conflicts,TAKE_REPORT,
A4|W4407797130|complete_relabel,A. The 8 ledger conflicts,COMPLETE,
A5|topic_convention|per_narrative,A. The 8 ledger conflicts,PER_NARRATIVE,
A6|W4291473423|fifth_abstract,A. The 8 ledger conflicts,ADD,
A7|85136545530|table1_rows,A. The 8 ledger conflicts,KEEP_9.9_ONLY,
A8|85162702221|subgroup_docs,A. The 8 ledger conflicts,ACCEPT,
B1|format|five_abstracts,B. The format rule,EXCLUDE,
B2|format|grey_kept,B. The format rule,KEEP_GREY,"idk, I'd be tempted to keep the pre-prints in the main analysis if that's fine and if we said so"
B3|format|methods_sentence,B. The format rule,ADD,
C1|84929523850|kcl,C. The two wrong-paper identities,CONFIRM,
C2|85147303661|comprop,C. The two wrong-paper identities,DROP_MEMO_EXCLUDE_GRUZD,
D1|105008525623|gesop,D. The GESOP Spanish duplicate,REMOVE_SPANISH,
E1|105020578144|quality,E. The manual items from your page rulings,BOTH_QUALITY,
E2|105027959122|reach_or_recall,E. The manual items from your page rulings,RECALL_SHARING,"idk I'm confused about htis one, re-read and make a call"
E3|85105511315|content,E. The manual items from your page rulings,CONTENT,
E4|85159598935|sharing_fields,E. The manual items from your page rulings,APPLY,
E5|85163186108|sharing_fields,E. The manual items from your page rulings,APPLY,
E6|85210156482|quality,E. The manual items from your page rulings,APPLY,
E7|85148963619|content,E. The manual items from your page rulings,APPLY,
E8|PMID-33304681|correction,E. The manual items from your page rulings,APPLY,
F1|perception_rows|remove,F. Consistency items the post-campaign pass surfaced,REMOVE,
F2|85116003554|36.6,F. Consistency items the post-campaign pass surfaced,REPLACE_36.6,
F3|85154558018|reach,F. Consistency items the post-campaign pass surfaced,REACH,
F4|105009619554|fields,F. Consistency items the post-campaign pass surfaced,APPLY,
F5|105019603181|label,F. Consistency items the post-campaign pass surfaced,APPLY,
F6|85160008311|94.8,F. Consistency items the post-campaign pass surfaced,ADD,
F7|germany2017|duplicate,F. Consistency items the post-campaign pass surfaced,DROP_W3129222959,
F9|view_weighted|construct,F. Consistency items the post-campaign pass surfaced,CONTENT,
F10|85100218180|construct,F. Consistency items the post-campaign pass surfaced,CONTENT,
F11|third_targets|accept,F. Consistency items the post-campaign pass surfaced,ACCEPT,
F12|85055756722|total_vs_parts,F. Consistency items the post-campaign pass surfaced,TOTAL_ONLY,
H0|topic_rule|adopt,H. Topic rule for domain-list studies (your comments of 2026-09-11),ADOPT,
H|2-s2.0-85059494932|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85060025053|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85081743293|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85086037795|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85209547248|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85078014559|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85162702221|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85037352356|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|2-s2.0-85195353413|topic,H. Topic rule for domain-list studies (your comments of 2026-09-11),GENERAL_NEWS,
H|stay|political_by_construction,H. Topic rule for domain-list studies (your comments of 2026-09-11),CONFIRM,
I|2-s2.0-85188173755|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-85142229013|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-85159326203|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-85141611104|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-85097561204|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-85124891836|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-105032107446|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-105012522879|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|2-s2.0-85087848582|not_exposure,"I. What reading every recall item found (window coding, 2026-09-11)",REMOVE,
I|hints|one_instrument,"I. What reading every recall item found (window coding, 2026-09-11)",KEEP_ONE_PER_WAVE,
I|conditional|drop,"I. What reading every recall item found (window coding, 2026-09-11)",DROP,
I|mixed_polarity|headline_only,"I. What reading every recall item found (window coding, 2026-09-11)",HEADLINE_ONLY,
J1|denom_selection|reexamine,J. What the abstract-disclosure test surfaced,APPLY_FILE,
J2|denominators|fill,J. What the abstract-disclosure test surfaced,APPLY,
J3|values|verify,J. What the abstract-disclosure test surfaced,VERIFY,
L1|105017599346|25,L. From Laura's value check (2026-09-13),KEEP_FLAG,
L2|85059494932|fake_only,L. From Laura's value check (2026-09-13),ADD_5,it's fine to have both fake-only and fake + biased; why is it 12 and not 25 as written here 'fake-only (10%) over fake+biased (25%)'? 
T1|freeze|go,T. Timing,GO,
