id,country,platform,group,share,measure,topic
2-s2.0-85194023903,English-language,Twitter/X,0.25,81,concentration of SHARING: % of low-credibility retweets originated by ,general_news
2-s2.0-85194023903,English-language,Twitter/X,0.003,38.1,concentration of SHARING: % of low-credibility retweets originated by ,general_news
2-s2.0-85145956359,United States,Twitter/X,1,70,concentration of EXPOSURE (audience-level): top 1% of respondents = 70,war_geopolitics
2-s2.0-85148963619,English-language,Twitter/X,"~800 verified 'superspreader' accounts (~5.6% of low-cred posters; status-defined, not a volume percentile)",35,concentration of SHARING (top ~800 superspreader accounts -> share of ,covid19
W4407878374,Norway,Twitter/X,25,75,concentration of SHARING (top 25% of users),covid19
W4281770633,United States,Twitter/X,0.0013,28.6,concentration of SHARING (top 35 spreaders),politics_elections
W4281770633,United States,Twitter/X,0.0054,50,concentration of SHARING (top 150 spreaders),politics_elections
2-s2.0-85159153364,Global,Twitter/X,top-15 Twitter accounts (rank-truncated; mostly verified),68.0%,concentration of SHARING (top-15 spreader accounts' share of retweets),war_geopolitics
2-s2.0-85159153364,Global,Facebook,top-15 Facebook accounts/pages (rank-truncated),80.0%,concentration of SHARING (top-15 accounts' share of interactions),war_geopolitics
2-s2.0-85194733750,United States,Twitter/X,0.3,80,concentration of SHARING: top 0.3% of users = 80% of fake-news shares,politics_elections
2-s2.0-85078014559,Italy,Twitter/X,20,90,audience/user concentration of SHARING: top ~20% of sharers account fo,general_news
2-s2.0-85160248068,United States,Google Search,31.3,90,% of participants accounting for 90% of unreliable exposures,general_news
2-s2.0-85160248068,United States,Google Search,25.1,90,% of participants accounting for 90% of unreliable exposures,general_news
2-s2.0-85195353413,United States,Twitter/X,"deplatformed users (0.23% of panel; selection-defined by moderation, not a volume percentile)",24.13,concentration of SHARING: top 0.23% deplatformed users' share of all m,general_news
2-s2.0-85105454127,United States,Twitter/X,1,75,CONCENTRATION of SHARING: share of all shared fake-news-publisher link,general_news
2-s2.0-105002155467,United States,web_cross_platform,1,65.3,CONCENTRATION of EXPOSURE: top 1% of panelists account for 65.3% of al,general_news
2-s2.0-85060549676,United States,Twitter/X,1,80,concentration of exposure,politics_elections
2-s2.0-85060549676,United States,Twitter/X,0.1,79.8,concentration of sharing,politics_elections
2-s2.0-85081743293,United States,web_cross_platform,20,62,concentration of exposure,general_news
2-s2.0-85060549676,United States,Twitter/X,5 (of sources),50,concentration: top 5% of sources account for >50% of exposures within ,politics_elections
2-s2.0-85078014559,Italy,Twitter/X,top 10 sources,95,concentration: top-10 sources account for >95% of total tweets,general_news
2-s2.0-85145956359,United States,Twitter/X,10,98,concentration: top 10% of respondents account for 98% of exposures,politics_elections
2-s2.0-85148963619,English-language,Twitter/X,top-20 low-credibility sources (rank-truncated; source-count denominator unreported),61,concentration: aggregate top low-credibility sources account for ~61% ,covid19
W7146985142,Germany,web_cross_platform,top 3 domains,49,concentration: top-3 untrustworthy domains account for 49% of untrustw,general_news
W7146985142,Germany,web_cross_platform,top 3 domains,23,concentration: top-3 untrustworthy domains account for 23% of untrustw,general_news
2-s2.0-105029413645,United States,web_cross_platform,1,37,concentration: top 1% of users account for 37% of total exposure,health_other
2-s2.0-105029413645,United States,web_cross_platform,10,77,concentration: top 10% of users account for 77% of total exposure,health_other
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 23% by untrustworthy exposure,80,concentration of untrustworthy-source exposure (top 23% -> 80%),general_news
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 20% of users by untrustworthy-source exposure,75.9,CONCENTRATION of EXPOSURE: % of all untrustworthy-source exposure rece,general_news
NEW-bergeronboutin-sciadv2026,United States,Instagram,top 20% of users by untrustworthy-source exposure,90.1,CONCENTRATION of EXPOSURE: % of all untrustworthy-source exposure rece,general_news
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 0.5% of untrustworthy Pages by total views (235 Pages),74,CONCENTRATION of EXPOSURE across SOURCES: % of untrustworthy-Page expo,general_news
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 0.5% of untrustworthy domains (13 domains),70,CONCENTRATION of EXPOSURE across SOURCES: % of untrustworthy-domain ex,general_news
NEW-bergeronboutin-sciadv2026,United States,Facebook,top 0.5% of untrustworthy groups (199 groups),46,CONCENTRATION of EXPOSURE across SOURCES: % of untrustworthy-group exp,general_news
2-s2.0-85074596916,United States,Twitter/X,"Amplifier accounts: accounts posting 50 or more times a day using the study's election hashtags (automated, semiautomated, or highly active human-curated)",27.8,share of all divisive and conspiracy source shares that came from high,politics_elections
2-s2.0-85188358632,Finland,Twitter/X,"The vocal minority (the 'loud' 10%) of online users, predominantly anti-vaccination campaigners and malicious bots",82,share of all misinformation / negative-vaccine-stance content contribu,vaccines
NEW-bergeronboutin-sciadv2026,United States,Instagram,11,80,concentration of untrustworthy-source exposure (top 11% -> 80%),general_news
