producer,category,year,claim_text,number_pct,denom_class,method,url,access_date
Avaaz,advocacy_platform,2020,"Health misinformation networks reached estimated 3.8 billion views on Facebook in a year",,REACH_ABSOLUTE,"social media network analysis (130M interactions converted to estimated views)",https://secure.avaaz.org/campaign/en/facebook_threat_health/,2026-06-22
Avaaz,advocacy_platform,2021,"Top 100 misinformation stories viewed estimated 162 million times in three months",,REACH_ABSOLUTE,"engagement tracking of top misinformation stories on Facebook",https://secure.avaaz.org/campaign/en/facebook_election_insurrection/,2026-06-22
Avaaz,advocacy_platform,2020,"16% of top 100 YouTube videos for 'global warming' contained climate misinformation",16,CONTENT,"manual review of top 100 search results for selected climate keywords",https://secure.avaaz.org/campaign/en/youtube_climate_misinformation/,2026-06-22
CCDH,advocacy_platform,2021,"Twelve individuals responsible for 65% of anti-vaccine content on social media",65,CONTENT,"analysis of 483 anti-vax posts from 30 selected groups over six weeks",https://counterhate.com/research/the-disinformation-dozen/,2026-06-22
Meta,advocacy_platform,2021,"Disinformation Dozen responsible for about 0.05% of all vaccine-content views on Facebook",0.05,EXPOSURE,"platform-internal view-share rebuttal to CCDH Disinformation Dozen report",https://oag.dc.gov/sites/default/files/2024-10/Meta%20Vaccine%20Misinfo%20Report%20FINAL.pdf,2026-06-22
Meta,advocacy_platform,2025,"97.8% of US Facebook feed views in Q2 2025 did not include an external link",97.8,EXPOSURE,"Widely Viewed Content Report aggregate feed-view sampling",https://transparency.meta.com/reports/widely-viewed-content-report/,2026-06-22
YouTube,advocacy_platform,2021,"Violative View Rate is 0.16-0.18%: 16-18 of every 10,000 views are violative content",0.18,EXPOSURE,"sampled-views human review aggregated into Violative View Rate estimate",https://blog.youtube/inside-youtube/building-greater-transparency-and-accountability/,2026-06-22
TikTok,advocacy_platform,2021,"78.5% of misinformation videos removed before being reported to TikTok",78.5,CONTENT,"Community Guidelines Enforcement Report proactive-removal share",https://www.tiktok.com/safety/resources/tiktok-transparency-report-2021-q-2,2026-06-22
TikTok,advocacy_platform,2021,"69.7% of removed COVID-19 disinformation videos had zero views",69.7,EXPOSURE,"Community Guidelines Enforcement Report view-distribution of removed videos",https://www.tiktok.com/safety/resources/tiktok-transparency-report-2021-q-2,2026-06-22
Global Disinformation Index,advocacy_platform,2019,"At least $235 million in ad revenue generated annually by disinformation websites",,REACH_ABSOLUTE,"traffic and ad-revenue estimation across 20,000 suspected disinformation domains",https://www.disinformationindex.org/,2026-06-22
NewsGuard,advocacy_platform,2024,"3,006 AI content farm news and information websites identified across 16 languages",,REACH_ABSOLUTE,"ongoing analyst cataloguing of unreliable AI-generated news sites",https://www.newsguardtech.com/special-reports/ai-tracking-center/,2026-06-22
ISD,advocacy_platform,2022,"Climate skeptics averaged ~92,000 interactions versus ~7,500 for climate-science content",,REACH_ABSOLUTE,"network analysis of COP26 climate posts (CAAD coalition report)",https://www.isdglobal.org/our-expertise/information-warfare-and-online-manipulation/climate/,2026-06-22
Avaaz,advocacy_platform,2019,"Removed far-right disinformation networks' content viewed estimated 533 million times in three months",,REACH_ABSOLUTE,"engagement tracking of networks later removed by Facebook",https://avaazimages.avaaz.org/Avaaz%20Report%20Network%20Deception%2020190522.pdf,2026-06-22
