id,terminal,reason,provenance
2-s2.0-105011696813,DROPPED,creator single-actor (Bolsonaro) — producer-side not audience exposure [RA #6],v1.2a_changelog
2-s2.0-105014962937,DROPPED,mDISCERN measures quality not falsity — out of construct [RA #7],v1.2a_changelog
2-s2.0-105031695645,DROPPED,perception survey not a prevalence estimate [RA #11],v1.2a_changelog
2-s2.0-105041276064,DROPPED,no clean estimate (reconstructed from subgroup table) [Phase-1 flip #13],v1.2a_changelog
2-s2.0-84869090226,DROPPED,CPC websites coded at source/outlet level not content/exposure [RA #14],v1.2a_changelog
2-s2.0-84983509049,DROPPED,quality/stance rating not falsity [20-study re-audit],v1.2a_changelog/reaudit_20_results
2-s2.0-85056602344,DROPPED,producer-side concentration over curated sources — circular sample [RA #18],v1.2a_changelog
2-s2.0-85056802427,DROPPED,bots-only concentration (conc_unit=bots) — RULE C-TYPE excludes bots [Shao],v1.2_recode_changelog/construct_and_concentration_rules
2-s2.0-85059686579,DROPPED,DISCERN composite quality score not falsity [re-audit],v1.2a_changelog/reaudit_20_results
2-s2.0-85081680257,DROPPED,reliability rating not falsity [re-audit],v1.2a_changelog/reaudit_20_results
2-s2.0-85084947770,DROPPED,anti-vax stance coding not falsity [re-audit],v1.2a_changelog/reaudit_20_results
2-s2.0-85094820438,DROPPED,portrayal/stance coding not falsity [re-audit],v1.2a_changelog/reaudit_20_results
2-s2.0-85105969129,DROPPED,composition/biased subset not population prevalence [re-audit],v1.2a_changelog/reaudit_20_results
W2953415400,DROPPED,chemtrail stance category not falsity [re-audit; superseded punchlist-C edit],v1.2a_changelog/reaudit_20_results
SEED-cordonier2021,DEDUP_COLLAPSED,renamed/merged into canonical SEED-cordonnier2021 (two-n) — same Cordonnier 2021 France web-tracking study,v1.2_build_changelog
